word_chinese_traditional,aoa_mean,familiar_mean,imagine_mean,concrete_mean,semantic_radical_trans_mean,frequency_log,number_stroke,number_word_forms,number_homophones,number_meanings,aoa_raw,familiar_raw,imagine_raw,concrete_raw,semantic_radical_trans_raw
砥,6.2,4.15,3.090909091,3.55,5.210526316,0.246220217,10,5,6,1,5.952380952,4.15,3.045454545,3.55,5.210526316
銘,4.571428571,5.65,1.666666667,1.9474,3.842105263,1.728790659,14,7,3,1,4.590909091,5.65,1.954545455,2.15,3.842105263
激,4.25,6.736842105,3.454545455,3,3.842105263,2.453046093,16,7,4,6,4.095238095,6.65,3.5,3,3.842105263
倫,4.285714286,6.631578947,2.818181818,1.5789,3.526315789,2.456587387,10,2,14,NA,4.285714286,6.5,3.045454545,1.85,3.526315789
罐,3.619047619,6.578947368,5.863636364,6.05,4.894736842,1.345230812,24,3,4,NA,3.727272727,6.4,5.681818182,6.05,4.894736842
詩,3.428571429,6.736842105,4.318181818,4.5,6.111111111,2.178186332,13,7,13,NA,3.428571429,6.6,4.318181818,4.5,5.894736842
跋,5.523809524,4.85,3.772727273,2.45,5.473684211,0.345754374,12,5,2,7,5.523809524,4.85,3.818181818,2.45,5.473684211
始,3.571428571,6.888888889,2.454545455,2.4,2.578947368,2.639635871,8,5,7,1,3.571428571,6.7,2.363636364,2.4,2.578947368
瞬,4.666666667,6.368421053,3.545454545,3.2,5,1.164663608,17,2,6,NA,4.681818182,6.1,3.454545455,3.2,5
託,4.380952381,5.9,3.181818182,3.1,4.947368421,1.717823044,10,9,2,1,4.318181818,5.9,3.083333333,3.1,4.947368421
慢,2.714285714,6.888888889,4.454545455,4.25,4.105263158,2.325072328,14,8,7,7,2.714285714,6.7,4.454545455,4.25,4.105263158
授,4.904761905,6.263157895,3.818181818,3.65,5.315789474,2.177955386,11,2,3,4,4.904761905,6.05,3.590909091,3.65,5.315789474
識,3.368421053,6.736842105,2.19047619,3.3,4.473684211,2.605940746,19,18,20,6,3.181818182,6.65,2.545454545,3.3,4.473684211
貌,3.428571429,6.45,4.5,3.7,2.722222222,1.752807239,14,8,0,NA,3.409090909,6.45,4.363636364,3.7,2.947368421
姣,6.15,5.842105263,4.136363636,3.2,5.684210526,0.366195535,9,7,0,4,6,5.6,4.181818182,3.2,5.684210526
姨,2.761904762,6.5,4.636363636,5.3,6.666666667,1.180259341,9,6,16,3,2.761904762,6.5,4.636363636,5.3,6.473684211
硬,3.095238095,6.842105263,4.454545455,4.65,6.055555556,2.155922089,12,14,0,6,3.095238095,6.75,4.130434783,4.65,5.894736842
酒,3.857142857,6.894736842,6.333333333,6.4,6.222222222,2.689412062,10,7,2,4,3.857142857,6.8,6.045454545,6.4,6.052631579
措,4.666666667,6.315789474,2.047619048,1.8947,4.210526316,2.036910457,11,6,8,5,4.666666667,6.05,2.272727273,2.1,4.210526316
