word_german,valence_mean,valence_sd,arousal_mean,arousal_sd,concrete_mean,concrete_sd,frequency,length,syllables,valence_mean_female,valence_sd_female,arousal_mean_female,arousal_sd_female,concrete_mean_female,concrete_sd_female,valence_mean_male,valence_sd_mean,arousal_mean_male,arousal_sd_mean,concrete_mean_male,concrete_sd_male
Beleg,5.109375,0.645305,2.274194,2.120697,4.650794,2.846383,12,5,2,5.181818,0.682575,2.354839,2.429656,4.6875,2.856091,5.032258,0.604642,2.193548,1.796652,4.612903,2.883024
Berg,5.5625,1.41281,3.460318,2.123793,1.83871,1.404834,10,4,1,5.333333,1.493039,3.84375,2.343273,1.96875,1.713031,5.806452,1.301777,3.064516,1.824564,1.7,0.987857
Bericht,5.079365,1.004853,2.177419,1.664718,4.492064,2.850427,8,7,2,5.1875,0.997982,2.193548,1.90472,4.65625,2.777901,4.967742,1.016001,2.16129,1.416493,4.322581,2.959584
Beruf,5.671875,1.533278,2.90625,2.201866,5.904762,2.698353,9,5,2,5.666667,1.534329,3,2.42384,6.3125,2.632765,5.677419,1.5575,2.806452,1.97348,5.483871,2.743124
Bescheid,4.8125,1.139131,2.546875,1.726816,5.936508,2.455232,11,8,2,4.969697,0.98377,2.727273,1.736964,6.46875,2.184762,4.645161,1.279281,2.354839,1.723338,5.387097,2.629036
Besen,4.765625,0.771356,1.983871,1.476504,1.206349,0.480548,13,5,2,4.848485,0.755034,2.225807,1.961457,1.21875,0.55267,4.677419,0.791079,1.741936,0.681554,1.193548,0.40161
Bestand,4.984375,0.845008,2.190476,1.664207,6.725807,2.416944,11,7,2,4.818182,0.950478,2.46875,2.078839,7.21875,2.090445,5.16129,0.687836,1.903226,1.044185,6.2,2.657455
Besteck,4.859375,0.852023,2.080645,1.518178,1.66129,1.186586,15,7,2,4.909091,0.678401,2.096774,1.757931,1.65625,1.003522,4.806452,1.013882,2.064516,1.26321,1.666667,1.372974
Bestie,3.5,2.708517,6.984127,2.31748,5.209677,2.829222,14,6,2,3.375,2.744496,6.818182,2.429693,5.5,2.663977,3.633333,2.709922,7.166667,2.214114,4.9,3.009754
Besuch,5.9375,1.660704,3.640625,2.170269,5.936508,2.583278,9,6,2,5.818182,1.844833,4.424242,2.250421,6.21875,2.253805,6.064516,1.45912,2.806452,1.759154,5.645161,2.893077
Betrag,4.983871,1.06343,2.677419,1.956697,5.047619,2.690656,10,6,2,4.787879,1.111237,3.032258,2.330721,5.34375,2.597882,5.206897,0.977581,2.322581,1.446538,4.741936,2.792463
Betreff,5.21875,0.916667,1.983607,1.746347,6.951613,2.145735,16,7,2,5.060606,0.899284,2.096774,2.134711,7.1875,2.116563,5.387097,0.919327,1.866667,1.252125,6.7,2.183796
Betrug,3.25,2.519763,5.857143,2.638775,6.677419,2.386947,11,6,2,3.393939,2.680245,5.515152,2.647183,7.3125,1.94169,3.096774,2.371425,6.233333,2.621967,6,2.65226
Bett,5.857143,2.116427,4,2.606463,1.370968,0.706733,10,4,1,5.575758,2.278024,3.909091,2.626353,1.375,0.751343,6.166667,1.913353,4.096774,2.624942,1.366667,0.668675
Beweis,5.359375,1.145969,3.28125,2.134142,5.984127,2.785284,10,6,2,5.363636,1.084498,3,1.75,5.875,2.636591,5.354839,1.226061,3.580645,2.473516,6.096774,2.970464
Biest,3.571429,2.234006,6.634921,2.112189,5.428571,2.650102,15,5,1,3.5625,2.227938,6.545455,2.346419,5.65625,2.350146,3.580645,2.277048,6.733333,1.855715,5.193548,2.948665
Bild,5.396825,1.508467,3.25,2.152887,2.412698,1.85468,8,4,1,5.53125,1.480723,3.212121,1.996209,2.25,1.796053,5.258065,1.548499,3.290323,2.340848,2.580645,1.928284
Bildnis,5.603175,1.476042,3.03125,2.054563,4.222222,2.599283,14,7,2,5.666667,1.554563,2.969697,2.200637,4.625,2.756225,5.533333,1.407696,3.096774,1.921021,3.806452,2.400269
Bildung,6.428571,2.486832,4.65625,2.514837,7.467742,2.109446,9,7,2,6.21875,2.672855,4.424242,2.586386,7.875,1.560604,6.645161,2.302873,4.903226,2.454314,7.033333,2.525502
Binde,4.484375,1.402856,3.33871,2.179965,2.190476,1.511858,15,5,2,4.606061,1.321443,3.290323,2.147767,2.1875,1.693203,4.354839,1.495513,3.387097,2.246144,2.193548,1.327136
Birke,5.3125,1.41281,2.548387,2.109133,1.596774,1.384453,15,5,2,5.454546,1.416221,2.625,2.282472,1.4375,0.840027,5.16129,1.416493,2.466667,1.942862,1.766667,1.794308
Bistro,5.515625,1.511776,3.048387,1.945381,3.142857,2.354523,13,6,2,5.30303,1.402784,3.375,2.136473,3.28125,2.49172,5.741936,1.611785,2.7,1.684616,3,2.236068
Bitte,5.890625,1.604727,4.666667,2.355502,7.080645,2.098387,10,5,2,5.666667,1.594261,4.9375,2.27096,7.0625,1.998992,6.129032,1.607108,4.387097,2.445096,7.1,2.233754
Blase,4.796875,0.928896,3.671875,1.944097,2.015873,1.5292,14,5,2,4.757576,0.936426,3.939394,2.105638,1.875,1.560604,4.83871,0.934408,3.387097,1.745039,2.16129,1.507686
Blatt,5.375,0.95119,2.730159,2.208534,2.015873,1.736627,10,5,1,5.424242,1.14647,3.375,2.744496,2.03125,2.0238,5.322581,0.701764,2.064516,1.181397,2,1.414214
Blech,4.90625,0.75,2.177419,1.903613,1.730159,1.110163,13,5,1,4.878788,0.415149,2,1.949359,1.8125,1.306004,4.935484,0.997847,2.354839,1.871691,1.645161,0.877435
Blinker,5.09375,0.867742,2.387097,1.944769,2.048387,1.633937,16,7,2,5.121212,0.780928,2.483871,2.158255,2.125,2.043874,5.064516,0.963863,2.290323,1.735772,1.966667,1.0662
Blume,6.354839,2.333623,3.936508,2.468335,1.5,1.00409,12,5,2,6.28125,2.542977,4.242424,2.657893,1.4375,0.800705,6.433333,2.128353,3.6,2.23761,1.566667,1.194335
Blüte,6.609375,2.394552,4.375,2.413586,1.83871,1.404834,13,5,2,6.636364,2.595888,4.575758,2.424231,1.75,1.04727,6.580645,2.202638,4.16129,2.423452,1.933333,1.720732
Blutung,3.6875,2.076895,6.079365,2.245437,3.209677,2.347912,16,7,2,3.606061,2.317588,5.787879,2.315135,3.21875,2.151284,3.774194,1.820434,6.4,2.159183,3.2,2.578425
Bogen,5.296875,1.049258,2.765625,1.949702,2.951613,2.27911,11,5,2,5.272727,0.719059,2.606061,1.999053,3.5625,2.368306,5.322581,1.326326,2.935484,1.913731,2.3,2.01973
Bohne,5.109375,1.009749,2.492064,1.974621,1.603175,1.085679,16,5,2,5.30303,0.918043,2.65625,2.134349,1.4375,0.800705,4.903226,1.075634,2.322581,1.814517,1.774194,1.30919
Bombe,2.952381,2.70858,6.047619,2.542723,2.079365,1.771655,11,5,2,3.03125,2.845306,6.181818,2.403832,2.21875,1.995711,2.870968,2.60438,5.9,2.720928,1.935484,1.526117
Bonbon,5.984127,1.755104,3.3125,2.069238,1.741936,1.213794,14,6,2,6,1.870829,3.69697,2.17205,1.6875,1.203155,5.966667,1.650148,2.903226,1.90359,1.8,1.242911
Boot,5.609375,1.267634,2.507937,1.803876,1.349206,0.67582,10,4,1,5.454546,1.325021,2.53125,1.934148,1.375,0.751343,5.774194,1.203043,2.483871,1.690581,1.322581,0.599283
Bordell,4.206349,2.470201,6.580645,1.851436,2.596774,2.250389,14,7,2,3.625,2.33832,6.1875,2.038936,2.71875,2.317317,4.806452,2.495588,7,1.553639,2.466667,2.208656
Bosheit,3.222222,2.510908,5.515625,2.189384,7.790323,1.548528,14,7,2,3.4375,2.614322,5.515152,2.078479,8.03125,1.402403,3,2.42212,5.516129,2.33625,7.533333,1.676066
Bote,5.245902,1.233636,2.725807,1.812248,3.603175,2.524331,13,4,2,5.40625,1.042929,2.78125,1.995711,3.9375,2.687336,5.068966,1.412471,2.666667,1.625939,3.258065,2.337631
