word_chinese_simplified,translate_word_english,valence_mean,valence_sd,arousal_mean,arousal_sd,familiar_mean,familiar_sd,concrete_mean,concrete_sd,imagine_mean,imagine_sd,frequency_words_per_million,frequency_log,frequency_zipf,strokes_1st_character_n,strokes_2nd_character_n,strokes_total_n
實情,fact,3.22,0.55,2.33,1.14,4.13,0.71,3.3,1.24,3.06,1.12,7.15,2.38,3.38,14,11,25
功勞,credit,4.22,0.66,2.85,1.35,4.33,0.61,3.06,1.27,3.3,1.26,7.15,2.38,3.38,5,12,17
法則,law,2.88,0.49,2.18,1.24,3.71,1.1,3.52,1.18,2.85,1.23,7.15,2.38,3.38,8,9,17
傳聞,rumor,2.55,0.75,2.91,1.21,4.29,0.74,2.94,1.06,3,1.06,7.06,2.37,3.38,13,14,27
權威,authority,2.91,1.01,3.18,1.31,4.1,0.82,2.85,1.2,2.79,1.17,7.04,2.37,3.38,22,9,31
言語,talk,3.16,0.45,2.18,1.31,4.48,0.68,3.67,0.99,3.27,1.33,7.04,2.37,3.38,7,14,21
作風,way,3.06,0.35,2.24,1.09,4.03,0.87,2.58,1.15,2.45,1.03,7.04,2.37,3.38,7,9,16
編號,serial number,3,0.36,1.56,0.84,4.52,0.63,4.67,0.55,4.55,0.51,6.98,2.37,3.37,15,13,28
智商,inteligence quotient,3.61,0.75,2,1.08,4.38,0.55,3.39,1.39,3.06,1.34,6.98,2.37,3.37,12,11,23
漏洞,vulnerability,1.7,0.64,3.33,1.05,3.91,1.09,3.03,1.31,3.09,1.26,6.98,2.37,3.37,14,9,23
通告,notice,2.94,0.44,1.97,0.93,4.37,0.67,4.29,0.64,4.22,0.83,6.89,2.36,3.37,10,7,17
特色,characteristic,3.82,0.73,2.45,1.3,4.53,0.51,2.91,1.21,3.09,1.31,6.86,2.36,3.37,10,6,16
地帶,zone,3,0.44,1.63,0.75,3.55,1.21,3.61,1.09,3.33,1.31,6.83,2.36,3.37,6,11,17
特點,trait,3.7,0.73,2.36,1.17,4.39,0.61,3.12,1.47,3,1.27,6.77,2.36,3.37,10,17,27
紀律,discipline,3.23,0.56,2.33,1.22,4.47,0.62,3.45,1.12,3.33,1.19,6.74,2.35,3.37,9,9,18
後代,posterity,3.26,0.51,2,0.97,4.03,0.82,4.13,0.98,4.16,0.82,6.74,2.35,3.37,9,5,14
賞金,monetary reward,4.33,0.65,3.55,1.28,4.06,1.01,4.41,0.61,4.52,0.67,6.74,2.35,3.37,15,8,23
權限,permissions,2.53,0.72,2.7,1.19,4.13,0.81,2.91,1.18,2.94,1.22,6.71,2.35,3.37,22,8,30
條例,regulations,2.84,0.52,1.94,1.01,4.4,0.56,4.03,1.26,3.76,1.17,6.71,2.35,3.37,11,8,19
疫苗,vaccine,3.15,0.91,2.24,1.2,4.19,0.95,4.66,0.55,4.69,0.54,6.65,2.35,3.37,9,9,18
案例,case,2.94,0.43,2.09,1.06,4.09,1.03,4.59,0.5,3.91,0.96,6.59,2.34,3.37,10,8,18
訊息,message,3.39,0.75,2.15,1.18,4.67,0.48,4.09,0.96,4.03,1.07,6.59,2.34,3.37,10,10,20
規律,regular pattern,3.24,0.9,2.06,1.22,4.29,0.69,3.67,1.19,3.42,1.12,6.59,2.34,3.37,11,9,20
外界,outside world,2.91,0.39,1.81,1.09,3.84,0.92,3.09,1.28,3.21,1.24,6.53,2.34,3.37,5,9,14
理性,rationality,3.82,0.73,2.12,1.17,4.37,0.76,2.48,1.15,2.85,1.46,6.53,2.34,3.37,11,8,19
效應,effect,2.94,0.44,2.22,0.97,4.07,0.94,2.48,1.18,2.39,1.2,6.5,2.34,3.37,10,17,27
事態,state of affairs,2.75,0.57,2.91,1.28,3.84,0.93,2.94,1.12,2.45,1.23,6.5,2.34,3.37,8,14,22
準則,standard,2.9,0.47,2.25,1.14,4,0.82,3.47,1.37,3.25,1.32,6.5,2.34,3.37,10,9,19
觀念,perspective,3.09,0.47,1.88,1.1,4.16,0.73,2.55,1.23,2.61,1.25,6.47,2.34,3.37,25,8,33
規模,scale,3.22,0.66,1.66,0.9,3.94,0.93,3.27,1.23,3.19,1.2,6.41,2.33,3.37,11,15,26
忠告,advice,3.63,0.75,2.64,1.08,4.23,0.62,3.24,0.97,3.55,1.18,6.35,2.33,3.37,8,7,15
威力,power,3.06,0.9,3.39,1.3,4.1,0.72,3.03,1.07,3.06,1.12,6.29,2.32,3.37,9,2,11
共識,consensus,3.92,0.8,2.23,1.18,4.33,0.76,3.12,1.4,2.96,1.46,6.2,2.32,3.37,6,19,25
人情,human relationship,3.88,0.83,2.65,1.16,4.25,0.61,2.35,1.2,2.81,1.44,6.17,2.32,3.36,2,11,13
理念,idea,3.77,0.71,2.23,1.14,4.2,0.91,3.04,1.34,3,1.33,6.11,2.31,3.36,11,8,19
產業,industry,3.35,0.75,2.12,1.07,4.08,1.09,4.08,0.86,3.42,1.17,6.05,2.31,3.36,11,13,24
氣質,temperament,4.27,0.72,2.35,1.16,4.38,0.64,2.88,1.37,2.96,1.28,6.02,2.31,3.36,10,15,25
爭議,controversy,1.76,0.6,3.92,1.02,4.29,0.75,3.04,1.31,3.31,1.29,6.02,2.31,3.36,8,20,28
品質,quality,3.77,0.76,2.16,0.99,4.29,0.95,3.04,1.18,2.85,1.49,6.02,2.31,3.36,9,15,24
現狀,status quo,3.2,0.76,2.31,0.97,4.46,0.66,3.08,1.35,3.72,1.31,5.99,2.3,3.36,11,8,19
敬意,tribute,4.31,0.62,2.58,1.36,4.35,0.65,2.54,1.14,3.08,1.23,5.93,2.3,3.36,13,13,26
期限,deadline,2.46,1.1,2.73,1.22,4.04,1.04,3.5,1.39,3.73,1.31,5.9,2.3,3.36,12,8,20
手續,formalities,2.81,0.94,2.46,1.17,4.29,0.91,3.88,1.21,3.85,1.22,5.9,2.3,3.36,4,21,25
智力,intelligence,4.04,0.73,2.54,0.99,4.63,0.49,3.04,1.4,3,1.39,5.9,2.3,3.36,12,2,14
用戶,user,3.09,0.29,1.88,0.95,4.38,0.71,4.48,0.59,4.44,0.82,5.87,2.29,3.36,5,4,9
旨意,decree,3.29,0.69,2.32,0.95,3.52,1.23,2.27,1.25,2.81,1.36,5.75,2.29,3.36,6,13,19
