word_portuguese,translate_word_english,cgram,familiar_mean,concrete_mean,imagine_mean,aoa_mean,aoa_sd,length,silo_n,phonemes,silphom_n,ond,oup,phoneme_density,phonome_up,frequency,frequency_log
Papel,paper,no,NA,NA,NA,2.44,1.63,5,2,5,2,0,5,0,5,4743,2.9
Parque,park,no,NA,NA,NA,3.51,1.72,6,2,5,2,2,6,4,5,1209,3.68
Patrão,boss,no,NA,NA,NA,5,1.57,6,2,6,2,1,5,1,5,764,3.08
Parte,part,no,NA,NA,NA,3.92,1.47,5,2,5,2,4,5,5,5,14010,2.88
Pedra,stone,no,NA,NA,NA,2.57,1.42,5,2,5,2,0,5,0,4,2875,4.15
Pele,skin,no,NA,NA,NA,3.2,1.26,4,2,4,2,4,4,0,4,1764,3.46
Perda,loss,no,NA,NA,NA,4.83,1.46,5,2,5,2,2,5,1,4,1163,3.25
Perna,leg,no,1.42,NA,NA,1.93,0.97,5,2,5,2,3,5,1,4,1413,3.07
Pesca,fishing,no,NA,NA,NA,3.72,1.21,5,2,5,2,2,5,2,4,878,3.15
Peso,weight,no,NA,NA,NA,5.14,1.37,4,2,4,2,6,4,7,3,1859,2.94
Pista,clue,no,NA,NA,NA,6.14,1.68,5,2,5,2,5,5,4,5,761,3.27
Plano,plan,no,NA,NA,NA,5.12,1.59,5,2,5,2,3,5,3,5,3022,2.88
Ponte,bridge,no,1.43,6.26,6.38,3.5,1.47,5,2,4,2,8,5,6,4,778,3.48
Porta,door,no,NA,NA,NA,2.06,1.17,5,2,5,2,10,5,4,5,4921,2.89
Posto,position,no,NA,NA,NA,5.06,1.71,5,2,5,2,10,5,8,5,2093,3.69
Povo,people,no,NA,NA,NA,4.04,1.63,4,2,4,2,5,4,7,3,3418,3.32
Praia,beach,no,NA,NA,NA,2.78,1.63,5,2,5,2,4,4,3,4,1693,3.53
Prazer,pleasure,no,2.93,2.08,2.9,5.3,1.72,6,2,6,2,2,6,2,5,1044,3.23
Prémio,award,no,NA,NA,NA,3.9,1.56,6,2,6,2,3,4,3,4,1589,3.02
Prisão,prison,no,1.87,5.36,5.63,4.79,1.8,6,2,6,2,0,5,0,5,1428,3.2
Quarto,room,no,NA,NA,NA,2.5,1.25,6,2,6,2,2,6,1,6,2829,3.16
Queixa,complaint,no,NA,NA,NA,3.82,1.47,6,2,5,2,3,6,4,5,1036,3.45
Questão,question,no,NA,NA,NA,5.28,1.44,7,2,6,2,0,6,3,5,5391,3.02
Rádio,radio,no,1.68,NA,NA,2.96,1.55,5,2,5,2,0,3,1,5,1130,3.73
Ramo,branch,no,NA,NA,NA,4.26,1.66,4,2,4,2,11,4,6,4,1155,3.05
Reacção,reaction,no,NA,NA,NA,6.56,1.33,7,2,6,2,1,5,0,5,1260,3.06
Rede,network,no,NA,NA,NA,4.88,1.84,4,2,4,2,2,4,2,3,2558,3.1
Regra,rule,no,3.07,2.98,2.42,4.27,1.54,5,2,5,2,2,5,3,5,2106,3.41
