word_portuguese,translate_word_english,imagine_mean,imagine_sd,concrete_mean,concrete_sd,frequency_s_mean,frequency_s_sd,length,syllables,syllabic_structure,pos,wordform_per_million_frequency,wordform_per_million_frequency_log10,frequency_zipf,orthographic_neighborhood_size,orthographic_levenshtein_distance
enterro,burial,4.86,1.87,4.96,1.82,3.42,1.68,7,3,VC.CVC.CV,"N,V",4.407,0.733,3.644,3,1.75
entidade,entity,3.16,1.78,3.5,1.77,4.12,1.46,8,4,VC.CV.CV.CV,N,53.314,1.735,4.727,0,2.4
entrada,entry,4.71,2.02,4.34,1.9,5.82,1.19,7,3,VC.CCV.CV,"ADJ,N,V",190.338,2.282,5.28,6,1.55
entrega,delivery,3.75,1.81,4.02,1.78,5.09,1.3,7,3,VC.CCV.CV,"N,V",55.683,1.754,4.746,2,1.7
entrevista,interview,4.78,1.66,4.38,1.66,4.69,1.26,10,4,VC.CCV.CVC.CV,"N,V",93.637,1.976,4.971,2,1.75
entusiasmado,enthusiastic,4.03,2.02,3.02,1.97,4.61,1.4,12,6,VC.CV.CV.VC.CV.CV,"ADJ,V",4.319,0.726,3.635,1,2.2
entusiasmo,enthusiasm,4.5,1.79,2.77,1.43,4.84,1.32,10,5,VC.CV.CV.VC.CV,"N,V",29.293,1.481,4.467,2,2.25
envelope,envelope,6.32,1.08,6.16,1.42,4.16,1.29,8,4,VC.CV.CV.CV,N,3.615,0.664,3.558,0,3.2
envergonhado,shamed,4.72,2.03,3.14,1.57,4.56,1.31,12,5,VC.CVC.CV.CCV.CV,"ADJ,V",2.247,0.512,3.352,1,2.05
envio,sending,3.75,1.87,3.4,1.69,5.24,1.5,5,3,VC.CV.V,"N,V",21.036,1.343,4.323,4,1.65
enxada,hoe,5.56,1.97,6.39,0.94,2.5,1.06,6,3,VC.CV.CV,N,1.387,0.378,3.142,2,1.85
enxame,swarm,5.39,1.69,5.61,1.89,2.45,0.7,6,3,VC.CV.CV,N,0.875,0.273,2.942,0,1.9
enxaqueca,headache,3.8,1.89,4.09,2.08,3.63,1.43,9,4,VC.CV.CVV.CV,N,0.562,0.194,2.75,0,3.25
epidemia,epidemic,3.93,1.93,3.73,1.69,3.09,1.19,8,5,V.CV.CV.CV.V,N,9.419,1.018,3.974,0,2.8
episódio,episode,4.55,1.6,4.27,1.7,5.67,1.27,8,4,V.CV.CV.CVV,N,34.491,1.55,4.538,1,2.6
época,epoch,3.39,1.71,3.56,1.47,4.48,1.44,5,3,V.CV.CV,N,206.621,2.317,5.315,1,1.9
equilíbrio,balance,4.03,1.95,3.22,1.76,4.58,1.29,10,4,V.CVV.CV.CCVV,N,43.02,1.644,4.634,0,3.05
equipa,team,5.52,1.41,5.67,1.26,5.23,1.31,6,3,V.CVV.CV,"N,V",444.401,2.649,5.648,3,1.7
equipamento,equipment,4.67,1.75,5,1.46,4.86,1.36,11,5,V.CVV.CV.CVC.CV,N,65.434,1.822,4.816,0,2.8
