word_italian,translate_word_english,aoa_mean,aoa_sd,familiar_mean,familiar_sd,imagine_mean,imagine_sd,concrete_mean,concrete_sd,frequency_ilc_adult_written,frequency_colfis_adult_written,frequency_totfq_child_written,frequency_compfq_child_written,frequency_prodfq_child_written,frequency_spkfq_adult_spoken,n,bigram,syllables,length,phonome_stress,phoneme_voice,mann,voiced,stop,nasal,fricative,affricate,liquid,bilabial,labiodental,dental,alveolar,palatal,velar,vowel,rt_mean
brandello,shred,5.57,1.25,4.07,1.59,4.3,1.68,4.68,1.86,3,6,0,0,0,0,0,10.88,3,9,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,542
brivido,shiver,3.75,1.22,5.91,1.51,4.11,2.1,5.14,2.14,44,60,17,13,4,1,0,10.34,3,7,ap,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,527
brodo,broth,2.25,1.08,6.36,0.97,5.41,1.48,5.59,1.7,34,55,12,9,3,2,1,10.29,2,5,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,503
buccia,peel,2.82,0.84,6.23,1.36,5.48,1.53,6.59,0.9,8,20,19,13,6,0,2,10.22,2,6,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,516
bufera,storm,4.23,1.01,5.95,1.36,4.73,1.83,4.32,1.88,15,32,9,7,2,0,0,10.05,3,6,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,542
bugia,lie,2.27,0.97,6.59,0.79,3,2.03,2.93,1.86,24,24,31,16,15,0,0,10.11,3,5,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,510
burrasca,tempest,4.89,1.13,5.18,1.39,4.43,1.86,4.52,1.84,16,10,8,5,3,0,0,10.29,3,8,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,534
burro,butter,2.82,1.06,6.82,0.5,6.07,1.3,5.14,2.28,11,91,24,21,3,2,0,10.16,2,5,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,531
bussola,compass,4.18,0.99,5.68,1.25,5.64,1.51,6.45,1.11,15,16,9,8,1,0,0,10.45,3,7,ap,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,534
cadavere,corpse,4.82,1.11,6.34,1.01,5.41,1.56,4.93,2.25,46,136,0,0,0,2,0,11.1,4,8,ap,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,537
