word_galician,translate_word_english,valence_mean,valence_sd,valence_n,arousal_mean,arousal_sd,arousal_n,concrete_mean,concrete_sd,concrete_n,imagine_mean,imagine_sd,imagine_n,aoa_mean,aoa_sd,aoa_n
asistencia,assistance,5.142857142857143,2.2483204964917824,14,5.769230769230769,1.5892265495016835,13,4.461538461538462,2.258885588639695,13,4.2,2.1778101714468003,15,10.166666666666666,2.587850400809464,12
asistente,assistant,4.5,1.5075567228888183,12,6.818181818181818,2.136266922375657,11,6.333333333333333,2.7743413086658424,12,5.785714285714286,2.2930856412794,14,8.153846153846153,2.577018750615844,13
asociación,association,6,1.6787441193290353,23,5.214285714285714,2.547353722789787,14,5.75,2.958039891549808,12,6.4,2.746426249302381,15,10.5,3.1070639120954935,14
asunto,matter,4.769230769230769,1.8327504901034293,13,6.25,1.9128750375000738,12,5.117647058823529,2.1471595463884507,17,4.190476190476191,2.3370718349902644,21,7.428571428571429,3.0309756163343162,14
ataque,attack,3.380952380952381,1.6271505915615334,21,8.416666666666666,0.6685579234215189,12,6.571428571428571,2.502745744924215,14,5.214285714285714,2.423556554658127,14,6.230769230769231,2.4205318339105477,14
atención,attention,6.416666666666667,1.443375672974065,12,6.470588235294118,2.182820625326997,17,3.1904761904761907,2.379475732573199,21,4.642857142857143,2.7902892835178017,14,6.454545454545454,2.7727804976794848,22
atentado,(terrorist) attack,1.0833333333333333,0.28867513459481275,12,7.785714285714286,1.7619295117556795,14,5.357142857142857,2.5901334345533646,14,5.076923076923077,2.841992800294025,13,10.272727272727273,3.9542842128966456,23
atento,attentive,6.916666666666667,2.6443192398846698,12,5.2727272727272725,2.370270410350224,11,4,2.5584085962673253,12,6.357142857142857,1.7368026705655173,14,6.615384615384615,2.9308264345988815,13
atmosfera,atmosphere,5.25,1.712255291076124,12,5.181818181818182,2.522624895547565,11,4.083333333333333,2.8109633849474367,12,4.928571428571429,1.9792883614022538,14,9.076923076923077,2.5645512427953308,13
átomo,atom,5.166666666666667,3.0100840620497733,12,5.545454545454546,2.4642904197207103,11,3.5833333333333335,3.088345639315455,12,4.642857142857143,2.3405174594567715,14,11.75,2.3011854652449344,13
