word_croatian_equivalent,word_croatian,valence_mean,valence_sd,valence_unknown,valence_n,arousal_mean,arousal_sd,arousal_unknown,arousal_n,familiar_mean,familiar_sd,familiar_unknown,familiar_n,concrete_mean,concrete_sd,concrete_unknown,concrete_n
band,band,6.25,2.24,NA,20,5.65,2.35,NA,20,6.5,1.57,NA,20,5.95,1.39,NA,20
bank,bank,4.25,1.94,NA,20,4.95,2.28,NA,20,6.9,0.45,NA,20,5.47,1.61,1,19
banner,banner,5,1.6,1,19,4.21,2.23,1,19,5.9,1.59,NA,20,4.42,2.27,1,19
baseball,baseball,4.85,2.54,NA,20,4.8,2.53,NA,20,6.9,0.45,NA,20,6.3,0.92,NA,20
bass,bass,4.89,2.13,1,19,4.67,2.42,NA,21,6.81,0.51,NA,21,5.26,1.85,2,19
beach,beach,7.45,1.57,NA,20,4.6,2.54,NA,20,6.95,0.22,NA,20,6.1,1.52,NA,20
beauty,beauty,6.4,1.7,NA,20,4.24,2.21,NA,21,7,0,NA,21,5.1,2.02,NA,21
beer,beer,6.05,2.68,NA,20,4.95,2.5,NA,21,7,0,NA,21,6.67,0.8,NA,21
benefit,benefit,6.3,1.87,NA,20,5.3,2.54,NA,20,7,0,NA,20,3.7,1.72,NA,20
best,best,7,1.45,1,19,5.71,2.47,NA,21,7,0,NA,21,5.52,1.66,NA,21
big,big,5.35,1.63,NA,20,3.95,1.77,NA,21,7,0,NA,21,5.76,1.79,NA,21
bike,bike,7.25,1.8,NA,20,5.43,2.52,NA,21,6.75,0.72,NA,20,6.05,1.12,NA,21
black,black,4.75,1.94,NA,20,3.52,2.09,NA,21,7,0,NA,21,6.19,1.47,NA,21
blockbuster,blockbuster,5.7,1.78,NA,20,5.63,2.52,1,19,6.15,1.23,NA,20,4.37,2.22,1,19
blockchain,blockchain,5,1.03,4,16,4.33,2.72,5,15,4.55,2.33,NA,20,2.71,1.79,3,17
blog,blog,5.2,1.74,NA,20,5.1,1.55,NA,20,6.95,0.22,NA,20,5.5,1.54,NA,20
blogger,blogger,5.1,1.55,NA,20,4.25,2.53,NA,20,6.8,0.52,NA,20,5,2.32,NA,20
blues,blues,5.58,2.01,1,19,3.94,2.51,2,18,6.4,1.27,NA,20,4,1.72,NA,20
bluetooth,bluetooth,5.6,1.54,NA,20,4.29,2.26,NA,21,6.76,0.62,NA,21,5.48,1.99,NA,21
body,body,6.2,1.94,NA,20,5.29,2.47,NA,21,6.95,0.22,NA,20,5.19,1.83,NA,21
book,book,6.65,2.18,NA,20,3.9,2.49,NA,21,6.9,0.31,NA,20,5.76,1.51,NA,21
booking,booking,5.95,1.19,NA,20,4.7,2.6,NA,20,6.9,0.45,NA,20,3.45,1.93,NA,20
boom,boom,5,1.73,1,19,6.55,2.48,NA,20,6.75,0.79,NA,20,4.5,1.82,NA,20
boss,boss,5.3,1.95,NA,20,5.45,2.63,NA,20,7,0,NA,20,4.9,1.71,NA,20
box,box,6.05,2.06,NA,20,4.52,2.46,NA,21,6.95,0.22,NA,20,4.19,1.81,NA,21
brand,brand,5.35,1.73,NA,20,5.4,2.33,NA,20,6.85,0.49,NA,20,5.15,1.79,NA,20
break,break,5.8,2.33,NA,20,4.7,2.7,NA,20,6.95,0.22,NA,20,4.1,2.13,NA,20
bridge,bridge,4.75,2.29,NA,20,4.52,2.09,NA,21,7,0,NA,21,5.95,1.47,NA,21
browser,browser,5.68,1.53,1,19,4.58,2.09,1,19,6.6,0.88,NA,20,6.15,1.5,NA,20
bug,bug,3.89,1.49,1,19,4.86,2.06,NA,21,6.81,0.6,NA,21,5.42,1.89,2,19
business,business,5.75,1.52,NA,20,5.4,2.41,NA,20,7,0,NA,20,4.7,2.03,NA,20
button,button,5.8,2.12,NA,20,4.05,1.96,2,19,6.9,0.31,NA,20,5.38,1.66,NA,21
capital,capital,5.35,1.53,NA,20,4,2.25,1,20,6.76,0.7,NA,21,5.33,1.74,NA,21
cargo,cargo,4.05,1.64,NA,20,5,2.05,1,19,5.6,2.04,NA,20,4.88,1.65,3,17
cast,cast,4.94,1.92,2,18,4.55,2.06,NA,20,6.45,1.39,NA,20,4.95,1.43,1,19
casting,casting,5.68,2.16,1,19,5.2,1.91,NA,20,6.75,0.79,NA,20,4.75,1.74,NA,20
casual,casual,5.95,1.96,NA,20,4.6,2.37,NA,20,7,0,NA,20,4.85,1.53,NA,20
catering,catering,6.1,1.86,NA,20,4.65,2.3,NA,20,6.85,0.67,NA,20,4.8,1.77,NA,20
catwalk,catwalk,5,2.38,NA,20,4.95,2.19,NA,20,5.9,2,NA,20,4.95,2.01,NA,20
cell,cell,4.28,1.93,2,18,4.61,2.15,2,18,6.68,0.75,1,19,5.1,1.92,NA,20
challenge,challenge,5.35,1.57,NA,20,6.6,1.19,NA,20,6.55,1,NA,20,5.1,1.94,NA,20
challenger,challenger,5.68,2.36,1,19,5.9,2.36,NA,20,6.2,1.58,NA,20,5.25,1.62,NA,20
championship,championship,6.2,1.58,NA,20,6.6,1.76,NA,20,6.7,0.66,NA,20,5.6,1.35,NA,20
channel,channel,5.65,1.6,NA,20,4.26,2.05,1,19,6.65,0.81,NA,20,5.35,1.69,NA,20
charter,charter,4.95,1.47,1,19,4.85,1.84,NA,20,6.45,1.23,NA,20,4.78,1.56,2,18
chat,chat,6.7,1.59,NA,20,5.1,1.83,NA,20,7,0,NA,20,4.95,1.39,NA,20
cherry,cherry,7.2,1.91,NA,20,4.67,2.56,NA,21,7,0,NA,20,5.71,1.52,NA,21
chip,chip,4.47,1.74,1,19,4.6,2.37,NA,20,6.25,1.41,NA,20,4.7,1.42,NA,20
cinema,cinema,7.5,1.73,NA,20,5.62,2.27,NA,21,6.65,1.14,NA,20,5.81,1.4,NA,21
city,city,5.75,2.47,NA,20,4.89,2.54,1,19,7,0,NA,20,5.6,1.79,NA,20
classic,classic,5.85,1.73,NA,20,2.65,1.6,NA,20,7,0,NA,20,3.65,1.98,NA,20
cloud,cloud,5.8,2.33,NA,20,2.95,2.37,NA,20,6.5,1.54,NA,20,5.4,1.47,NA,20
club,club,6.2,2.38,NA,20,6.15,2.56,NA,20,6.85,0.49,NA,20,4.9,1.71,NA,20
