word_spanish,translate_word_english,pos,valence_mean,valence_sd,valence_n,arousal_mean,arousal_sd,arousal_n,concrete_mean,concrete_sd,concrete_n,imagine_mean,imagine_sd,imagine_n,availability_mean,availability_sd,availability_n,familiar_mean,familiar_sd,familiar_n
caudal,flow,A N,4.81,0.98,21,4.18,1.92,22,4.68,1.81,22,4.43,1.97,23,3.65,2.66,20,4.45,1.95,22
cazadora,jacket,A N,5.36,1.42,28,3.78,1.98,23,4.82,1.92,22,6.38,1.02,21,5.43,2.06,21,6.65,0.78,23
cebolla,onion,N,3.61,1.56,23,3.59,2.22,22,6.75,0.55,20,6.95,0.21,22,6.18,1.1,22,6.87,0.34,23
celador,warden,A N,4.6,0.99,20,5.35,1.79,20,5.33,1.06,21,4.52,2.27,23,4.14,2.23,22,4.27,1.88,22
celadora,warden,A N,4.8,1.2,20,5.2,1.82,20,5.52,1.12,21,4.55,2.09,22,3.41,2.24,22,3.48,2.2,21
celda,cell,N,2.65,1.43,23,5.75,2.73,20,5.71,1.62,21,6.23,0.97,22,5.23,1.95,22,4.82,1.44,22
celo,zeal,V N,4.75,1.55,20,5,2.41,21,4,1.69,20,5.33,2.06,21,5,2.09,22,5.4,1.67,20
celos,jealousy,N,2.55,1.1,22,7.15,1.53,20,4.87,1.94,23,4.13,2.14,23,5.27,1.55,22,6,1.41,21
célula,cell,N,5.2,0.62,20,4.27,1.64,22,5.36,1.65,22,4.86,1.85,21,2.91,1.85,22,5.27,1.61,22
cementerio,cemetery,N,2.08,1.86,24,5.52,2.73,21,6.35,0.93,20,6.78,0.52,23,6.45,1,20,5.81,1.63,21
cemento,cement,V N,5,1.1,24,4,2.28,21,6.81,0.51,21,6.17,1.15,23,5.6,1.79,20,5.5,1.28,20
cenicero,ashtray,N,4.39,1.56,23,4.05,1.84,22,6.7,0.57,20,6.91,0.29,22,5.77,1.66,22,5.75,1.83,20
ceniza,ash,N A,3.5,1.37,22,4.71,1.71,21,6.57,0.6,21,6.32,0.89,22,4.36,2.36,22,5.38,1.86,21
centímetro,centimeter,N,4.83,1.27,24,3.1,1.92,21,5.9,1.41,21,4.05,1.99,22,3.9,2.31,20,6,0.95,21
centuria,century,N,4.6,0.82,20,4.1,1.52,20,4.83,1.92,23,2.78,2.02,23,1.23,0.53,22,2.57,1.65,23
cepillo,brush,N,5.24,0.54,21,3.91,1.8,22,5.91,1.57,22,6.65,0.93,20,6,1.45,20,6.35,0.93,20
cerdo,pork,N,4.15,1.57,20,4.7,1.53,20,5.86,1.42,22,6.77,0.53,22,5.45,1.74,22,5.85,1.35,20
certeza,certainty,N,6.65,1.07,23,3.85,2.58,20,3.25,2,20,1.9,0.79,20,2.45,1.41,22,5.25,1.8,20
cerveza,beer,N,6.05,1.76,20,4.86,2.64,22,6.57,0.81,21,6.95,0.21,22,5.91,1.88,23,6.33,1.28,21
cesta,basket,N,5.18,0.5,22,3.3,1.87,20,5.9,1.33,20,6.59,0.73,22,5.64,1.92,22,5.9,1.3,21
chaleco,vest,N,5.13,0.34,23,3.95,1.76,20,6.7,0.47,20,6.87,0.46,23,5.32,1.73,22,6.22,1.2,23
