word_chinese_simplified,word_pinyin,age_of_learning,aoa_mean,concrete_mean,familiar_mean,imagine_mean
处,chu4,2,3.83,3.54,5.06,3.96
怵,chu4,21,6.51,3.33,3.52,4
触,chu4,6,4.45,5.33,6.44,5.55
矗,chu4,3,5.82,4.33,4.87,4.82
揣,chuai3,13,5.23,4.98,6.13,5.26
踹,chuai4,17,5.18,5.92,6.09,5.81
穿,chuan1,2,3.3,5.46,6.84,5.97
传,chuan2,4,4.08,4.82,6.33,5.52
船,chuan2,1,3.4,6.84,6.74,6.74
喘,chuan3,3,4.75,5.92,6.13,6.23
疮,chuang1,13,5.95,5.87,5.72,5.71
窗,chuang1,1,3.15,6.95,6.81,6.71
床,chuang2,3,2.59,6.9,7,6.91
创,chuang4,6,4.67,3.8,6.38,5.18
吹,chui1,1,3.33,5.95,6.83,6.13
炊,chui1,5,4.92,4.3,4.75,4.88
垂,chui2,4,4.2,4.79,6,4.68
捶,chui2,17,5.11,6.11,5.61,6.26
锤,chui2,4,4.61,6.47,5.74,6.63
春,chun1,2,2.85,5.63,6.97,6.55
纯,chun2,9,4.34,4.08,6.3,4.93
唇,chun2,6,3.82,6.95,6.58,6.83
醇,chun2,15,5.75,3.86,4.71,4.43
蠢,chun3,12,4.78,4.7,6.4,6.04
戳,chuo1,11,5.74,5.48,6.1,5.88
辍,chuo4,16,5.4,4.36,5.63,3.58
词,ci2,3,3.64,5.73,6.9,5.79
祠,ci2,18,5.82,5.48,5.59,4.65
瓷,ci2,9,5.08,6.3,6.63,5.53
慈,ci2,2,4.83,4.49,6.45,4.58
辞,ci2,7,4.95,4.03,6,4.68
磁,ci2,14,5.53,4.16,5.52,5.19
雌,ci2,10,5.63,4.92,5.63,5.1
刺,ci4,3,4.44,6,6.67,6.24
赐,ci4,10,5.28,5.08,6.35,5.13
葱,cong1,5,3.97,6.81,6.53,6.75
丛,cong2,2,3.89,4.75,6.03,4.59
凑,cou4,5,4.64,4.76,5.93,5.36
粗,cu1,2,3.33,5.73,6.59,6.73
促,cu4,6,4.51,3.58,6.19,4.59
醋,cu4,15,4.28,6.62,6.3,6.85
蹿,cuan1,4,5.39,5.3,5.29,5.68
窜,cuan4,5,4.82,5.15,6.59,5.47
催,cui1,3,4.49,4.5,6.41,5.24
摧,cui1,7,5.13,4.62,6.19,5.09
脆,cui4,4,4.34,5,6.72,5.53
啐,cui4,17,5.88,4.82,4.44,4.24
翠,cui4,5,4.39,4.3,5.81,5.18
村,cun1,1,3.33,6.31,6.77,6.03
存,cun2,2,3.78,4.57,6.53,4.79
搓,cuo1,5,4.49,5.58,6.45,5.97
挫,cuo4,17,5.19,3.81,5.52,4.64
错,cuo4,2,3.18,4.64,6.53,5.23
搭,da1,4,4.69,4.76,6.23,4.82
达,da2,2,4.08,3.85,5.52,4.13
答,da2,3,3.54,5.28,6.67,5.29
打,da3,2,3.05,5.75,6.9,6.82
大,da4,1,2.38,5.53,6.84,6.81
呆,dai1,4,3.78,4.05,5.81,4.39
歹,dai3,14,4.95,3.79,5.47,4
带,dai4,2,3.22,4.97,6.77,5.46
待,dai4,5,4.28,4.35,5.77,4.75
贷,dai4,7,5.42,4.59,5.68,4.89
逮,dai4,5,4.74,5.33,6.74,5.74
戴,dai4,2,4.08,5.79,6.47,5.58
丹,dan1,8,4.38,3.88,5.34,4.53
担,dan1,2,4.03,5.03,5.45,5.68
胆,dan3,2,3.77,5.36,6.55,5.43
掸,dan3,12,5.56,4.95,4.77,5.18
旦,dan4,5,4.5,4.25,4.97,3.57
弹,dan4,4,4.48,5.05,6.25,5.42
淡,dan4,3,3.85,4.63,6.55,5.53
蛋,dan4,3,3.08,6.79,6.77,6.67
当,dang1,2,3.65,3.87,5.19,3.55
挡,dang3,3,4.18,5.6,6.65,5.62
党,dang3,2,4.11,4.81,6.5,5.75
荡,dang4,2,4.55,4.9,5.38,5
档,dang4,21,4.64,4.92,5.74,4.43
刀,dao1,2,2.48,6.82,6.84,6.7
叨,dao1,5,4.67,4.95,5.97,5.11
导,dao3,3,4.31,3.49,5.9,4.61
岛,dao3,2,4.25,6.89,6.68,6.55
倒,dao3,3,3.98,5.33,6.09,5.61
捣,dao3,9,4.77,5.06,5.77,5.89
蹈,dao3,6,5.11,4.33,5.29,4.93
到,dao4,1,3.05,4.23,6.84,5.09
盗,dao4,6,4.83,5.42,6.38,5.13
道,dao4,2,3.75,4.28,5.66,3.71
稻,dao4,3,4,6.68,6.38,6.29
德,de2,5,4.21,3.58,6.29,4.62
灯,deng1,1,2.65,6.84,6.84,6.7
登,deng1,5,4.11,5.43,6.66,6.06
蹬,deng1,4,5.25,5.51,5.38,5.61
凳,deng4,4,3.59,6.92,6.84,6.69
瞪,deng4,3,4.74,6.1,6.48,6.27
低,di1,2,3.17,5.11,6.53,6.18
堤,di1,6,4.59,6.08,6.71,5.76
敌,di2,2,3.63,5.33,6.42,5.74
笛,di2,6,4.5,6.51,6.53,6.45
底,di3,2,3.64,5.38,5.9,5.57
抵,di3,6,5.28,4.05,5.59,4.09
弟,di4,1,2.63,6.92,6.74,6.13
帝,di4,4,4.28,5.2,6.74,5.94
递,di4,3,4.41,5.43,6.65,5.59
掂,dian1,20,5.36,5.46,5.52,5.64
颠,dian1,5,5.09,4.28,5.48,5.18
巅,dian1,19,6.09,5.32,4.26,5.64
典,dian3,11,4.11,3.92,4.94,4.14
电,dian4,2,3.08,5.18,6.87,6.42
店,dian4,7,3.58,6.47,6.97,6.58
垫,dian4,3,4.91,5.35,5.52,5.54
惦,dian4,5,5.43,4.26,5.84,4.87
殿,dian4,7,5.31,6.25,5.71,5.82
叼,diao1,4,4.28,5.78,5.52,6.18
貂,diao1,5,5.59,6.05,5.69,5.12
雕,diao1,6,5.23,5.55,6.39,5.94
钓,diao4,6,4.11,5.83,6.69,6.48
调,diao4,5,4.67,4.45,6.22,5.09
掉,diao4,2,3.65,5.18,6.39,5.23
爹,die1,11,3.38,6.74,6.45,6.52
跌,die1,8,4.46,5.46,6.31,6.03
碟,die2,7,4.53,6.49,6.61,6.33
蝶,die2,6,3.58,6.58,6.47,6.93
叮,ding1,6,3.78,5.61,5.84,5.23
盯,ding1,3,3.79,5.68,6.77,6.61
钉,ding1,3,3.83,6.31,6.03,6.63
顶,ding3,2,3.71,5,5.81,5.93
鼎,ding3,7,5.75,6.14,5.13,5.64
订,ding4,5,4.38,4.97,6.47,5.16
定,ding4,1,3.77,3.1,6.17,4.41
锭,ding4,16,5.58,5,5.13,3.73
丢,diu1,2,3.44,5.22,6.35,6.04
东,dong1,2,2.85,5.1,6.45,4.71
冬,dong1,3,2.79,5.45,6.97,6.52
董,dong3,6,5.08,2.5,5,2.53
懂,dong3,3,4.55,4.67,6.71,4.81
动,dong4,2,2.8,4.08,6.35,5.89
冻,dong4,4,3.71,5.11,6.13,5.86
洞,dong4,1,3.43,6.66,6.68,6.19
兜,dou1,6,4.69,5.88,6,5.15
