word_portuguese,translate_word_english,aoa_mean,aoa_sd,syllables,length,familiar_mean,frequency,frequency_log,concrete_mean,imagine_mean
canguru,kangaroo,3.05,1.43,3,8,1.27,NA,NA,6.72,6.48
canhão,cannon,4,1.65,2,6,1.45,127,2.1,NA,NA
canoa,canoe,3.71,0.78,3,5,2.15,88,1.94,NA,NA
cão,dog,1.3,0.66,1,3,1.24,1194,3.08,6.76,6.85
caos,chaos,5.17,1.3,1,4,2.93,275,2.44,2.46,2.88
cara,face,1.65,0.58,2,4,NA,1794,3.25,NA,NA
caracol,snail,1.81,0.51,3,7,1.53,133,2.12,NA,NA
caranguejo,crab,2.87,0.96,4,10,1.79,72,1.86,NA,NA
carapau,horse-mackerel,3.29,1.1,3,7,1.5,40,1.6,NA,NA
cardo,thistle,6.3,2.08,2,5,3.07,45,1.65,5.64,3.42
carneiro,lamb,2.87,1.02,3,8,NA,92,1.96,NA,NA
carocha,ground beetle,3.45,1.54,3,7,2.79,19,1.28,NA,NA
carpa,carp,5.62,1.86,2,5,3.08,8,0.9,NA,NA
carpinteiro,carpenter,3.38,1.07,4,11,2.35,115,2.06,NA,NA
carrinha,van,2.52,0.81,3,8,2.4,194,2.29,NA,NA
carrinho,cart,1.67,0.86,3,8,2.6,74,1.87,NA,NA
carro,car,1.76,1.09,2,5,1.64,2926,3.47,6.64,6.83
carroça,wagon,2.95,1.02,3,7,2.32,160,2.2,NA,NA
cartão,card,2.67,0.86,2,6,2.4,1347,3.13,NA,NA
carteira,wallet,2.68,0.86,3,8,1.85,426,2.63,NA,NA
carteiro,mailman,3.1,1.04,3,8,1.8,67,1.83,NA,NA
casa,house,1.57,0.6,2,4,1.4,12731,4.1,6.26,6.5
casaco,coat,2.1,0.7,3,6,1.58,568,2.75,NA,NA
casca,shell,2.3,0.86,2,5,2.1,318,2.5,6.16,5.38
cassete,tape,2.65,0.8,3,7,1.58,90,1.95,NA,NA
castanha,chestnut,2.14,0.57,3,8,2.3,98,1.99,NA,NA
catatua,cockatoo,4.61,1.36,4,7,4,NA,NA,NA,NA
cavala,chub mackerel,5.22,1.11,3,6,2.58,22,1.34,NA,NA
cavalo,horse,1.7,0.7,3,6,1.11,1559,3.19,6.68,6.77
cavaquinho,little guitar,3.67,0.97,4,10,3.21,17,1.23,NA,NA
cebola,onion,2.52,0.93,3,6,1.95,661,2.82,6.78,6.44
cegonha,stork,2.14,0.79,3,7,3,48,1.68,NA,NA
cenoura,carrot,2.35,1.36,3,8,1.63,207,2.32,6.86,6.56
cérebro,brain,3.83,1.34,3,7,1.67,293,2.47,5.32,5.75
cereja,cherry,2.3,0.73,3,6,1.95,81,1.91,6.8,6.63
ceroulas,long johns,5.05,1.66,3,8,2.53,26,1.41,NA,NA
cesto,basket,2.1,0.77,2,5,1.84,290,2.46,6.56,6.12
céu,sky,1.5,0.6,1,3,1.73,1502,3.18,4.16,5.83
chacal,jackal,5.87,1.41,2,6,3.26,9,0.95,NA,NA
chaleira,kettle,4.27,1.36,3,8,2.74,15,1.18,NA,NA
chapéu,hat,1.71,0.72,2,6,1.21,662,2.82,NA,NA
charme,charm,5.76,1.04,2,6,3.2,85,1.93,2.38,3.1
charrete,chariot,5.3,1.72,3,8,3.65,13,1.11,NA,NA
charuto,cigar,4.74,1.3,3,7,1.58,131,2.12,NA,NA
chave,key,2.43,0.98,2,5,1.21,570,2.76,6.72,6.6
chávena,cup,2.57,0.93,3,8,1.53,176,2.25,6.76,6.17
cherne,black grouper,5.52,1.5,2,6,4.16,16,1.2,NA,NA
chicharro,horse mackerel,5.5,1.86,3,9,2.95,12,1.08,NA,NA
chicória,chicory,6.48,1.83,3,8,4.37,17,1.23,NA,NA
chicote,whip,4,1.53,3,7,NA,87,1.94,NA,NA
chimpanzé,chimpanzee,3.05,1.12,3,9,1.79,NA,NA,NA,NA
chinelo,slipper,2.04,1.01,3,7,1.63,59,1.77,NA,NA
chocolate,chocolate,1.81,0.6,4,9,1.65,218,2.34,NA,NA
chouriço,smoked pork sausage,2.91,0.77,3,8,1.9,99,2,NA,NA
chuva,rain,1.7,0.64,2,5,NA,1839,3.26,NA,NA
cíclame,cyclamen,7.68,0.58,3,7,4.78,NA,NA,NA,NA
cientista,scientist,4.09,1.09,3,9,2.25,428,2.63,NA,NA
cigarra,cicada,3,0.77,3,7,2.58,26,1.41,NA,NA
cinto,belt,2.22,0.72,2,5,1.58,196,2.29,NA,NA
cinzeiro,ashtray,3.05,1.16,3,8,1.65,111,2.05,NA,NA
cisne,swan,2.95,1.09,2,5,2,70,1.85,NA,NA
ciúme,jealousy,4.14,1.31,3,5,3,210,2.32,1.9,2.62
clarinete,clarinet,4.62,1.16,4,9,2.89,53,1.72,NA,NA
clipe,paper clip,4,1.18,1,5,1.68,33,1.52,NA,NA
cloreto,chloride,6.55,0.83,3,7,3.47,40,1.6,4.92,2.52
coador,strainer,4.29,1.23,2,6,2.95,6,0.78,NA,NA
coala,koala,3.9,1.14,2,5,2,NA,NA,NA,NA
cobra,snake,2.43,0.68,2,5,1.63,142,2.15,NA,NA
coche,carriage,3.87,1.42,2,5,2.85,32,1.51,NA,NA
coco,coconut,2.18,0.83,2,4,2.15,48,1.68,NA,NA
codorniz,quail,3.91,0.98,3,8,3,41,1.61,NA,NA
coelho,rabbit,1.7,0.64,2,6,1.23,156,2.19,6.72,6.71
coentros,coriander,4.64,1.57,3,8,3.45,68,1.83,NA,NA
cofre,safe,3.33,1.15,2,5,1.74,273,2.44,NA,NA
cogumelo,mushroom,3.05,1.16,4,8,1.95,260,2.41,NA,NA
coiote,coyote,4.71,1.19,3,6,2.68,NA,NA,NA,NA
colar,necklace,2.43,0.93,2,5,1.8,204,2.31,NA,NA
colchão,mattress,2.57,0.81,2,7,1.85,122,2.09,NA,NA
cólera,anger,5.39,1.2,3,6,3.33,210,2.32,2.54,2.62
colete,vest,3.29,1.15,3,6,1.89,157,2.2,NA,NA
colher,spoon,1.52,0.94,2,6,1.26,1082,3.03,6.62,6.56
combóio,train,1.67,0.66,3,7,1.32,1197,3.08,6.58,6.62
comerciante,trader/dealer,3.9,1.48,4,11,2.4,794,2.9,NA,NA
cómoda,chest of drawers,3.87,1.53,3,6,2.55,94,1.97,NA,NA
compota,jam,3.3,1.12,3,7,2.45,44,1.64,NA,NA
condor,condor,6.09,1.85,2,6,3.6,10,1,NA,NA
confiança,trust,4.05,1.07,3,9,2.97,1214,3.08,2.08,2.37
conforto,comfort,4.52,1.21,3,8,2.93,361,2.56,2.74,3.37
congelador,freezer,3.18,0.93,4,10,1.68,29,1.46,NA,NA
congro,conger,7.24,1.55,2,6,4.24,12,1.08,NA,NA
contentamento,contentment,4.86,1.69,5,13,3.13,94,1.97,2.42,2.92
copo,glass,1.27,0.56,2,4,1.16,837,2.92,6.62,6.56
cor,colour,1.86,0.48,1,3,2.23,2799,3.45,3.88,4
coração,heart,2.38,0.86,3,7,NA,2213,3.34,NA,NA
cordeiro,lamb,3.43,1.02,3,8,2.21,28,1.45,NA,NA
corneta,horn,2.78,0.96,3,7,2.32,15,1.18,NA,NA
corrente,chain,3.9,1,3,8,1.89,2040,3.31,NA,NA
corta-relva,lawn mower,4.14,1.01,4,11,NA,NA,NA,NA,NA
cortinas,curtains,3,0.63,3,8,2.2,286,2.46,NA,NA
coruja,owl,3,0.85,3,6,2.8,51,1.71,6.66,6.19
corvina,meagre,5.13,1.7,3,7,2.92,18,1.26,NA,NA
corvo,crow,3.43,1.36,2,5,2.65,33,1.52,6.72,6.21
costas,back,1.91,0.77,2,6,1.74,1064,3.03,6.06,5.38
cotovelo,elbow,2.22,0.72,4,8,1.64,144,2.16,NA,NA
cotovia,lark,4.71,1.59,4,7,3.55,14,1.15,NA,NA
couve,cabbage,2.67,1.28,2,5,2.55,177,2.25,NA,NA
couve-flor,cauliflower,3.67,1.2,3,10,2.45,18,1.26,NA,NA
cozinheiro,cook,2.68,0.91,4,10,1.9,186,2.27,NA,NA
cravo,carnation,3.62,1.02,2,5,2.47,180,2.26,NA,NA
criador,creator,4.14,1.34,3,7,3.2,386,2.59,2.88,3.17
cristaleira,china-closet,5.23,1.57,4,11,3.05,NA,NA,NA,NA
crocodilo,crocodile,2.96,1.1,4,9,1.32,72,1.86,6.7,6.48
cronómetro,timer,5,0.89,4,10,1.74,11,1.04,NA,NA
