word_spanish,translate_word_english,color_mean,color_sd,motion_mean,motion_sd,grasp_mean,grasp_sd,pain_mean,pain_sd,sound_mean,sound_sd,taste_mean,taste_sd,smell_mean,smell_sd,boi_mean,concrete_mean,imagine_mean,category,pc1_scores,pc2_scores
abrazadera,clamp,3,1.41,2.31,1.19,4.88,2.41,2.58,1.64,2.58,1.56,2.29,1.27,1.92,1.1,NA,NA,NA,Flores (A flower),-0.42,-1.11
clarinete,clarinet,4.96,1.76,3.46,1.94,6.96,1.34,2.29,1.49,5.08,1.38,2.79,1.41,1.75,0.79,NA,NA,NA,Instrumentos musicales (A musical instrument),0.13,-0.28
reloj,clock,4.17,1.52,5.73,2.18,7.69,0.62,1.92,0.88,2.96,1.12,2.21,1.18,1.67,0.87,NA,6.52,6.04,Prendas de vestir (An article of clothing),-0.25,-0.42
vestidor,closet,4.21,2,1.62,0.75,1.62,1.3,1.54,0.98,2.04,1.04,2.63,1.31,3.17,1.66,NA,NA,NA,Muebles (An article of furniture),-0.46,-0.32
cucaracha,cockroach,4.58,2.22,6.73,1.85,6.88,1.51,2.42,1.86,1.46,0.59,1.33,0.92,1.83,1.2,NA,NA,NA,Insectos (An insect),-0.19,-0.38
coco,coconut,4.33,2.14,2.69,1.23,7.46,0.86,3.29,1.88,2.08,1.18,6.96,1.04,4.38,1.81,NA,5.55,NA,Frutas (A fruit),-0.96,1.26
bacalao,cod,3.38,1.38,6.19,1.79,6.38,1.53,1.71,1.08,1.5,0.66,6.25,1.82,5.63,2.06,NA,6.04,6.53,Peces (A fish),-0.76,1.64
moneda,coin,5.29,1.55,4.15,2.29,7.96,0.2,1.67,0.82,2.33,0.87,1.92,1.21,3.21,1.98,NA,5.87,6.3,Dinero (A kind of money),-0.61,0.12
escurridor,colander,2.83,1.37,2.77,1.5,7.38,0.9,1.46,0.66,1.92,0.78,2.13,1.03,1.96,1.16,NA,NA,NA,Utensilios de cocina (A kitchen utensil),-1.06,-1.1
corcho,cork,3.04,1.85,2,1.1,7.23,1.34,1.88,1.23,2.08,1.02,2.5,1.47,2.46,1.35,NA,NA,NA,Partes de un edificio (A part of a building),-1.03,-0.9
sacacorchos,corkscrew,3.33,2.06,3.27,1.59,7.77,0.59,4,1.5,2.33,0.92,2.17,1.13,1.75,1.03,NA,NA,NA,Utensilios de cocina (A kitchen utensil),-0.35,-1.04
maíz,corn,5.92,1.59,2.27,1.22,7.65,0.69,1.46,0.72,1.71,0.91,6.88,0.9,4,1.35,NA,6.41,6.16,NA,-1.49,1.63
chalet,cottage,3.83,1.49,1.27,0.53,1.15,0.46,1.58,0.88,2.96,1.43,2.58,1.41,3.33,1.76,NA,6.37,6.58,Tipos de viviendas (A type of human dwelling),-0.21,-0.44
puma,cougar,5.75,1.92,7.42,0.64,2.23,1.5,6.71,1.3,5.38,0.92,3.04,1.65,5.13,1.96,NA,NA,NA,Animales de cuatro patas (A four-footed animal),2.44,1.32
coyote,coyote,4.79,1.79,7.08,1.41,3.27,1.56,4.75,2.09,4.04,1.52,3.25,1.57,4.67,1.71,NA,5.33,5.79,Animales de cuatro patas (A four-footed animal),1.41,0.98
cangrejo,crab,6.5,1.25,6.73,1.19,7.12,1.18,3.83,1.63,1.92,0.93,5.58,2.06,4.29,1.92,NA,NA,NA,Peces (A fish),-0.03,1.99
rotulador,crayon,6.54,1.25,3.69,1.91,7.85,0.46,1.79,0.83,1.92,0.72,1.88,1.08,4.33,2.08,NA,NA,NA,NA,-0.66,0.76
cocodrilo,crocodile,5.88,1.23,6.96,0.82,2.42,1.39,7.08,0.93,3.96,1.46,3.21,1.84,3.88,1.68,NA,5.74,NA,Animales de cuatro patas (A four-footed animal),2.01,0.95
