word_chinese_simplified,concrete_mean,concrete_sd,arousal_mean,arousal_sd,familiar_mean,familiar_sd,typicality_mean,typicality_sd,valence_mean,valence_sd
触动,4.4444,1.5021,3.7143,1.843,6.1786,1.6114,3.2414,1.9577,0.5333,1.008
穿梭,3.8148,1.7982,1.6071,0.8317,5.9286,1.4383,1.3448,0.7689,0.2667,0.8683
传达,3.2143,1.4493,2,1.5396,6.7241,0.751,1.6207,1.6128,0.4667,1.008
传染,3.5556,1.948,3.1071,1.6407,6.6786,1.0203,2.1724,1.2837,-1,1.2594
传输,3.4074,1.7155,1.4643,0.7445,6.75,0.7005,1.1724,0.5391,0.1667,0.4611
创伤,3.0357,1.8556,4.2143,1.9504,6.4483,1.1208,3.1379,1.7672,-1.5333,0.8193
创新,4.8929,1.5477,3.0714,1.9038,6.8621,0.5158,2.3448,1.4212,1.7333,0.9444
纯净,3.963,1.7646,2.25,1.2656,6.5,1.0715,3.3793,1.8596,1.5667,0.8584
纯朴,3.963,1.7205,3,1.7427,6.3929,1.6179,4.0345,1.9176,1.7667,1.0063
纯真,4.4074,1.803,3.0714,1.6539,6.6786,0.9049,4.2414,1.786,1.6,1.1326
聪慧,4.5556,1.6946,3.2143,2.0066,6.5714,1.069,4.1724,1.9099,2.4,0.6747
聪明,4.3704,1.9044,3.1429,1.9947,6.8929,0.315,4.0345,1.8416,2.2667,1.0483
粗糙,3.4815,2.0451,2.4643,1.3467,6.7143,0.8545,2.3103,1.6713,-0.7667,0.7279
粗犷,4.7778,1.4233,3.5714,1.597,5.7857,1.2869,3.1034,1.5889,-0.1667,1.0532
粗鲁,3.5926,1.6469,4.0357,1.6884,6.6786,0.6118,4,1.8898,-1.5667,0.9353
粗俗,3.9259,1.859,4.0714,1.6085,6.5,1.2019,4.1034,2.0239,-1.7,0.7022
粗野,4.2857,1.9024,4.0714,1.6762,6.069,1.4864,3.6897,1.8147,-1.2667,1.0148
摧毁,3.6786,1.9062,4.5,1.7743,6.4828,1.2136,3.5862,2.0791,-1.9333,0.8277
村民,1.3214,0.8189,1.5357,0.8381,6.7931,0.675,1.1034,0.3099,0.1,0.712
存活,2.963,1.6286,2.7143,2.1057,6.4643,1.2317,2.4483,1.5021,1.0333,1.3515
错误,3.3214,1.9062,3.5714,1.894,6.931,0.3714,2.6552,1.9507,-1.5,1.0422
