cues,con,type,n_previous,needs_norming
curtain,4.82,Old,35,No
cushion,4.68,Old,34,No
custard,4.85,Old,29,Yes
custodian,4.64,Old,26,Yes
customer,3.82,Old,27,Yes
cuticle,4.94,Old,33,No
cutlery,4.75,Old,28,Yes
cutlet,4.52,Old,28,Yes
cuttlefish,4.23,Old,28,Yes
cymbal,4.92,Old,31,No
cymbals,4.88,Old,28,Yes
dachshund,4.67,Old,27,Yes
dad,4.29,Old,55,No
daffodil,4.96,Old,26,Yes
dagger,4.96,Old,58,No
daiquiri,4.62,Old,34,No
dairy,4.45,Old,36,No
daisy,5,Old,34,No
damsel,3.88,Old,31,No
dance,4.32,Old,37,No
dancer,4.75,Old,32,No
dandelion,5,Old,26,Yes
dandruff,4.79,Old,34,No
darkroom,4.45,Old,32,No
dart,4.9,Old,37,No
dartboard,4.75,Old,32,No
daughter,4.79,Old,39,No
daybed,4.41,Old,27,Yes
debris,4.69,Old,32,No
deck,4.77,Old,27,Yes
decor,3.77,Old,33,No
deer,4.86,Old,25,Yes
deerskin,4.9,Old,37,No
defendant,3.8,Old,31,No
delicatessen,4.28,Old,28,Yes
deliverer,3.72,Old,31,No
deliveryman,4.23,Old,27,Yes
democrat,3.96,Old,28,Yes
den,4.57,Old,24,Yes
denim,4.77,Old,63,No
dentist,4.93,Old,34,No
deodorant,5,Old,25,Yes
dermatologist,4.21,Old,29,Yes
derriere,4.65,Old,28,Yes
desert,4.86,Old,34,No
desk,4.87,Old,27,Yes
dessert,4.93,Old,36,No
detergent,4.77,Old,32,No
detonator,4.76,Old,25,Yes
device,3.97,Old,36,No
diagram,4.36,Old,27,Yes
diamond,4.89,Old,26,Yes
diaper,4.82,Old,30,No
diaphragm,3.93,Old,27,Yes
dice,4.86,Old,30,No
dictionary,4.62,Old,28,Yes
dietician,4.14,Old,34,No
dildo,4.7,Old,32,No
dime,4.85,Old,35,No
diner,4.82,Old,35,No
dinner,4.5,Old,31,No
dinnerware,4.79,Old,29,Yes
dip,4.22,Old,28,Yes
diploma,4.93,Old,31,No
