cues,con,type,n_previous,needs_norming
packaging,4.44,Old,29,Yes
packet,4.46,Old,32,No
pad,4.43,Old,33,No
padding,4.52,Old,28,Yes
paddle,4.8,Old,27,Yes
padlock,4.92,Old,26,Yes
page,4.9,Old,31,No
pail,4.93,Old,28,Yes
painkiller,4.18,Old,29,Yes
paint,4.79,Old,26,Yes
paintbox,4.65,Old,28,Yes
paintbrush,4.79,Old,27,Yes
pajamas,4.73,Old,61,No
pal,3.93,Old,34,No
pallet,4.59,Old,26,Yes
palm,4.83,Old,29,Yes
pamphlet,4.61,Old,28,Yes
pan,4.86,Old,37,No
panhandler,4,Old,37,No
pantaloons,4.79,Old,28,Yes
panties,4.9,Old,29,Yes
pantry,4.67,Old,32,No
pants,4.86,Old,27,Yes
paper,4.93,Old,36,No
paperback,4.57,Old,34,No
paperhanger,4.04,Old,29,Yes
paperweight,4.78,Old,27,Yes
paprika,5,Old,31,No
parachute,4.78,Old,26,Yes
parachutist,4.3,Old,27,Yes
parakeet,4.9,Old,31,No
paraphernalia,3.67,Old,28,Yes
paratrooper,4.89,Old,27,Yes
parcel,4.81,Old,27,Yes
parchment,4.48,Old,27,Yes
parent,4.56,Old,27,Yes
parka,4.65,Old,31,No
parsley,4.77,Old,28,Yes
parsnip,4.85,Old,26,Yes
partner,3.53,Old,38,No
passenger,4.34,Old,30,No
passionflower,4.72,Old,27,Yes
passport,5,Old,27,Yes
pasta,4.86,Old,29,Yes
pastrami,4.74,Old,26,Yes
pastry,4.97,Old,30,No
path,4.41,Old,34,No
patrolman,4.67,Old,35,No
paw,4.3,Old,27,Yes
pea,4.9,Old,33,No
peach,4.9,Old,27,Yes
peacock,5,Old,32,No
peanut,4.89,Old,34,No
peanuts,4.9,Old,31,No
pear,4.93,Old,26,Yes
pearl,4.87,Old,25,Yes
peashooter,4.28,Old,28,Yes
pebble,4.86,Old,29,Yes
pecan,4.87,Old,27,Yes
pedal,4.44,Old,31,No
pedestal,4.48,Old,31,No
pedestrian,4.41,Old,26,Yes
pedicurist,4.04,Old,32,No
pedometer,4.93,Old,25,Yes
peel,4.61,Old,25,Yes
peelings,4.27,Old,34,No
peephole,4.74,Old,24,Yes
peg,4.93,Old,25,Yes
pegboard,4.93,Old,30,No
pellet,4.56,Old,28,Yes
pelvis,4.93,Old,28,Yes
pen,4.92,Old,27,Yes
pencil,4.88,Old,37,No
pendant,4.75,Old,32,No
penknife,4.83,Old,30,No
pennant,4.37,Old,26,Yes
penny,4.83,Old,37,No
penthouse,4.36,Old,28,Yes
peony,4.48,Old,27,Yes
people,4.82,Old,33,No
pepper,4.59,Old,36,No
peppercorn,4.89,Old,34,No
peppermint,4.43,Old,26,Yes
pepperoni,5,Old,29,Yes
perfume,4.66,Old,36,No
periscope,4.78,Old,27,Yes
peroxide,4.93,Old,27,Yes
person,4.72,Old,34,No
perspiration,4.81,Old,28,Yes
pet,4.71,Old,39,No
petal,4.57,Old,26,Yes
phalanges,4.61,Old,27,Yes
pharmacist,4.03,Old,37,No
pharmacy,4.78,Old,30,No
phone,4.86,Old,26,Yes
phonograph,4.59,Old,30,No
photocopier,4.72,Old,27,Yes
photocopy,4.5,Old,28,Yes
photograph,4.89,Old,26,Yes
physician,4.65,Old,33,No
physiologist,4.25,Old,27,Yes
piano,4.9,Old,27,Yes
piccolo,4.71,Old,34,No
pickaxe,4.93,Old,26,Yes
pickle,4.64,Old,33,No
picnicker,4.32,Old,26,Yes
picture,4.52,Old,26,Yes
picture frame,4.61,Old,30,No
pie,4.92,Old,39,No
piercing,4.15,Old,36,No
pig,5,Old,29,Yes
piglet,4.93,Old,26,Yes
pigtail,4.67,Old,35,No
pike,4.25,Old,27,Yes
pilaf,4.2,Old,26,Yes
pill,4.72,Old,32,No
pillar,4.77,Old,36,No
pillow,5,Old,28,Yes
pillowcase,4.93,Old,33,No
pilot,4.67,Old,28,Yes
pimento,4.64,Old,26,Yes
pimple,4.77,Old,34,No
pin,4.92,Old,25,Yes
pinball,4.48,Old,28,Yes
pincushion,4.69,Old,32,No
pine,4.37,Old,34,No
pineapple,4.94,Old,32,No
pinecone,4.85,Old,37,No
pinewood,4.74,Old,27,Yes
pinkie,4.39,Old,34,No
pinwheel,4.66,Old,35,No
pipe,4.88,Old,26,Yes
pistachio,4.93,Old,39,No
pistol,4.89,Old,27,Yes
pitcher,4.93,Old,28,Yes
pitchfork,5,Old,26,Yes
pizza,5,Old,28,Yes
placard,4.46,Old,28,Yes
placenta,4.79,Old,29,Yes
plaintiff,3.9,Old,37,No
plane,4.92,Old,37,No
plank,5,Old,27,Yes
planner,3.61,Old,27,Yes
plant,4.76,Old,28,Yes
plantain,4.42,Old,27,Yes
planter,4.61,Old,26,Yes
plaque,4.7,Old,29,Yes
plaster,4.59,Old,28,Yes
plastic,4.79,Old,57,No
plate,4.77,Old,31,No
platform,4.48,Old,30,No
platter,4.93,Old,29,Yes
player,4.15,Old,35,No
playground,4.77,Old,34,No
playhouse,4.72,Old,28,Yes
playroom,4.71,Old,34,No
playsuit,3.96,Old,29,Yes
plaything,3.68,Old,27,Yes
playwright,3.56,Old,26,Yes
plexiglas,4.8,Old,27,Yes
pliers,4.93,Old,36,No
plow,4.46,Old,34,No
plug,4.64,Old,29,Yes
plum,4.85,Old,28,Yes
plumber,4.63,Old,30,No
plywood,4.82,Old,32,No
pocket,4.68,Old,24,Yes
pocketbook,5,Old,30,No
pocketknife,4.93,Old,36,No
podiatrist,4.63,Old,30,No
poet,4.36,Old,29,Yes
poinsettia,4.92,Old,31,No
poker,4.2,Old,31,No
pole,4.66,Old,31,No
police,4.79,Old,35,No
policeman,4.93,Old,30,No
policewoman,4.89,Old,34,No
politician,4.33,Old,28,Yes
polyester,4.12,Old,35,No
pomegranate,4.86,Old,34,No
pompom,4.68,Old,34,No
poncho,4.97,Old,39,No
pond,4.9,Old,26,Yes
pony,4.9,Old,28,Yes
pooch,4.32,Old,27,Yes
poodle,4.89,Old,27,Yes
pool,4.77,Old,34,No
poop,4.83,Old,26,Yes
popcorn,5,Old,38,No
porch,4.92,Old,36,No
pork,4.79,Old,26,Yes
porridge,4.89,Old,37,No
portfolio,4,Old,38,No
portrait,4.9,Old,28,Yes
postage,4.37,Old,34,No
postcard,4.93,Old,28,Yes
poster,4.66,Old,32,No
postman,4.74,Old,34,No
postmaster,4.59,Old,29,Yes
pot,4.81,Old,38,No
potato,4.85,Old,32,No
potboiler,4.16,Old,25,Yes
potpourri,4.59,Old,25,Yes
pottery,4.72,Old,28,Yes
potty,4.12,Old,26,Yes
pouch,4.5,Old,25,Yes
poultry,4.72,Old,29,Yes
powder,4.76,Old,33,No
powderpuff,4.35,Old,31,No
powerboat,4.76,Old,35,No
practitioner,3.89,Old,27,Yes
prankster,3.59,Old,28,Yes
preschooler,4.33,Old,29,Yes
present,3.39,Old,26,Yes
pretzel,4.74,Old,25,Yes
priest,4.77,Old,25,Yes
primate,4.5,Old,43,No
primrose,4.08,Old,33,No
printout,4.53,Old,27,Yes
prisoner,4.11,Old,32,No
prize,4.45,Old,29,Yes
produce,3.31,Old,29,Yes
programmer,3.86,Old,28,Yes
projector,4.64,Old,29,Yes
proofreader,3.82,Old,35,No
prop,4.46,Old,56,No
propeller,4.9,Old,31,No
proprietor,4.24,Old,27,Yes
prosecutor,4.24,Old,30,No
prosthesis,4.19,Old,28,Yes
prostitute,4.28,Old,25,Yes
protester,3.96,Old,26,Yes
protractor,4,Old,26,Yes
prune,4.7,Old,26,Yes
pub,4.71,Old,34,No
publication,4.41,Old,28,Yes
publisher,4.24,Old,26,Yes
puck,4.5,Old,32,No
pudding,4.9,Old,33,No
puddle,4.67,Old,27,Yes
pug,4.62,Old,27,Yes
puke,4.59,Old,31,No
pulley,4.74,Old,32,No
pullover,4.32,Old,32,No
pulp,4.3,Old,25,Yes
pumice,3.85,Old,27,Yes
pump,4.31,Old,36,No
pumpernickel,4.77,Old,27,Yes
pumpkin,4.9,Old,25,Yes
punchbowl,4.85,Old,27,Yes
punter,4.07,Old,26,Yes
pup,4.61,Old,30,No
pupil,4.55,Old,26,Yes
puppet,4.64,Old,33,No
puppy,4.78,Old,34,No
purse,4.9,Old,31,No
pushcart,4.25,Old,32,No
putty,4.48,Old,29,Yes
puzzle,4.75,Old,30,No
quadriceps,4.36,Old,31,No
quarter,4.43,Old,35,No
quarterback,4.61,Old,26,Yes
quarters,4.57,Old,27,Yes
questionnaire,4.24,Old,30,No
quiche,4.53,Old,25,Yes
quill,5,Old,29,Yes
quilt,5,Old,27,Yes
rabbit,4.93,Old,24,Yes
racehorse,4.83,Old,35,No
rack,4.48,Old,34,No
racket,4.26,Old,29,Yes
radiator,4.78,Old,26,Yes
radio,4.74,Old,27,Yes
radiologist,4.52,Old,34,No
radish,4.87,Old,33,No
raft,5,Old,31,No
rag,4.67,Old,40,No
rail,4.9,Old,27,Yes
railroad,5,Old,27,Yes
rain,4.97,Old,56,No
raincoat,5,Old,36,No
raindrop,4.89,Old,31,No
rainwater,4.64,Old,29,Yes
raisin,4.97,Old,34,No
rake,4.84,Old,34,No
ramp,4.69,Old,37,No
rancher,4.83,Old,27,Yes
raspberry,4.93,Old,27,Yes
rat,4.85,Old,31,No
rattle,4.07,Old,26,Yes
razor,4.9,Old,35,No
receipt,4.86,Old,72,No
receptacle,4.58,Old,26,Yes
receptionist,4.36,Old,27,Yes
record,4.15,Old,25,Yes
recorder,4.43,Old,28,Yes
recruiter,4,Old,32,No
rectum,4.92,Old,34,No
reefer,4.54,Old,25,Yes
refrigerator,5,Old,28,Yes
reindeer,4.7,Old,33,No
remote,3.44,Old,36,No
repairer,4.29,Old,35,No
reptile,4.47,Old,27,Yes
residence,4.34,Old,37,No
respirator,4.56,Old,26,Yes
restaurant,4.89,Old,26,Yes
retriever,4.15,Old,25,Yes
revolver,4.69,Old,30,No
rhinestone,4.82,Old,33,No
rhubarb,4.86,Old,28,Yes
rib,4.9,Old,28,Yes
ribbon,4.89,Old,26,Yes
rice,4.86,Old,25,Yes
rifle,4.85,Old,29,Yes
rind,4.48,Old,28,Yes
ring,4.81,Old,28,Yes
rink,4.56,Old,35,No
river,4.89,Old,29,Yes
riverbank,4.68,Old,27,Yes
riverboat,4.9,Old,28,Yes
roach,4.96,Old,33,No
road,4.75,Old,30,No
roadway,4.67,Old,33,No
roast,4.4,Old,34,No
robber,4.31,Old,28,Yes
robe,5,Old,26,Yes
robot,4.65,Old,30,No
rock,4.91,Old,28,Yes
rocker,4.31,Old,28,Yes
rod,4.43,Old,29,Yes
rodent,4.7,Old,28,Yes
roll,4.16,Old,30,No
rook,4.38,Old,31,No
roommate,4.52,Old,38,No
roosters,4.93,Old,28,Yes
root,4.34,Old,28,Yes
rope,4.93,Old,28,Yes
rosary,4.63,Old,38,No
rose,4.9,Old,28,Yes
rosebush,4.69,Old,24,Yes
rosemary,4.68,Old,25,Yes
rosewater,4.58,Old,26,Yes
rotisserie,4.23,Old,34,No
rowboat,4.81,Old,27,Yes
rubber,4.86,Old,28,Yes
rubbish,3.64,Old,27,Yes
ruby,4.77,Old,35,No
rucksack,4.14,Old,28,Yes
rug,4.79,Old,26,Yes
ruler,4.66,Old,24,Yes
rum,4.93,Old,28,Yes
runner,4.86,Old,32,No
rye,4.74,Old,28,Yes
sack,4.84,Old,26,Yes
sackcloth,4.65,Old,25,Yes
saddle,4.85,Old,34,No
saddlebag,4.88,Old,28,Yes
saffron,4.44,Old,28,Yes
sage,4.54,Old,36,No
sailboat,4.89,Old,26,Yes
sailcloth,4.39,Old,27,Yes
salad,4.97,Old,40,No
salamander,4.7,Old,24,Yes
salesgirl,4.46,Old,33,No
saleslady,4.65,Old,28,Yes
salesman,4.81,Old,34,No
saleswoman,4.8,Old,35,No
salmon,4.81,Old,28,Yes
saloon,4.68,Old,26,Yes
salt,4.89,Old,39,No
saltshaker,4.96,Old,33,No
saltwater,4.77,Old,32,No
salve,4,Old,26,Yes
sand,5,Old,27,Yes
sandalwood,4.71,Old,28,Yes
sandbag,4.68,Old,29,Yes
sandbank,4.83,Old,32,No
sandbox,4.86,Old,29,Yes
sandcastle,4.96,Old,28,Yes
sandpaper,4.85,Old,28,Yes
sandwich,4.9,Old,27,Yes
sangria,4.45,Old,27,Yes
sapling,4.52,Old,25,Yes
sapphire,4.76,Old,30,No
sardine,5,Old,36,No
sarong,4.5,Old,28,Yes
sash,4.67,Old,34,No
satchel,4.73,Old,29,Yes
satin,4.57,Old,33,No
sauce,4.75,Old,34,No
saucepan,4.67,Old,27,Yes
sauerkraut,4.54,Old,26,Yes
sauna,4.68,Old,37,No
sausage,4.88,Old,28,Yes
saw,4.46,Old,26,Yes
sawdust,4.93,Old,27,Yes
sawhorse,4.78,Old,26,Yes
saxophone,5,Old,49,No
scab,4.71,Old,26,Yes
scale,4.39,Old,34,No
scallion,4.72,Old,27,Yes
scallop,4.61,Old,24,Yes
scalp,4.82,Old,25,Yes
scalpel,4.86,Old,31,No
scanner,4.79,Old,27,Yes
scapula,4.08,Old,26,Yes
scar,4.74,Old,37,No
scarecrow,4.68,Old,25,Yes
scarf,4.97,Old,28,Yes
school,4.79,Old,27,Yes
schoolboy,4.5,Old,31,No
schoolgirl,4.66,Old,29,Yes
schoolhouse,4.86,Old,30,No
schoolwork,4.1,Old,28,Yes
scientist,4.24,Old,34,No
scissors,4.85,Old,60,No
scoop,4.15,Old,35,No
scooter,4.96,Old,27,Yes
scorecard,4.61,Old,39,No
scorpion,4.84,Old,32,No
scotch,4.55,Old,31,No
scrapbook,4.76,Old,28,Yes
scraper,4.23,Old,30,No
scratches,4.59,Old,34,No
screen,4.6,Old,27,Yes
screw,4.81,Old,32,No
screwdriver,4.9,Old,31,No
scribbling,4.1,Old,27,Yes
script,4.72,Old,24,Yes
scrotum,4.87,Old,28,Yes
scrubber,4.52,Old,32,No
sculpture,4.79,Old,32,No
scythe,4.29,Old,26,Yes
sea,4.79,Old,27,Yes
seam,4.5,Old,28,Yes
seamstress,4.43,Old,26,Yes
seaplane,4.75,Old,25,Yes
searchlight,4.63,Old,27,Yes
seashore,4.63,Old,31,No
seasoning,4.67,Old,30,No
seat,4.78,Old,53,No
seawater,4.41,Old,25,Yes
seaweed,4.89,Old,27,Yes
secretary,4.54,Old,37,No
sedan,4.72,Old,30,No
sedative,4.56,Old,35,No
seed,4.71,Old,36,No
seedling,4.56,Old,30,No
semen,4.79,Old,27,Yes
senorita,4.18,Old,34,No
sequin,4.24,Old,26,Yes
servant,4.64,Old,30,No
serviceman,4.57,Old,25,Yes
sesame,4.5,Old,26,Yes
sex,4.1,Old,28,Yes
shack,4.93,Old,33,No
shaker,4.11,Old,33,No
shallot,4.59,Old,25,Yes
shampoo,4.68,Old,30,No
shamrock,4.89,Old,26,Yes
shank,4.18,Old,27,Yes
sharpener,4.64,Old,30,No
shavings,4.5,Old,60,No
shawl,5,Old,24,Yes
shed,4.55,Old,25,Yes
sheep,4.9,Old,36,No
sheepdog,4.72,Old,28,Yes
sheepskin,4.78,Old,31,No
sheet,4.93,Old,26,Yes
shelf,4.96,Old,36,No
shell,4.8,Old,30,No
shellfish,4.53,Old,27,Yes
shelter,4.64,Old,32,No
shelving,4.67,Old,24,Yes
sherbet,4.83,Old,26,Yes
shield,4.66,Old,27,Yes
shin,4.86,Old,27,Yes
shinbone,4.8,Old,24,Yes
shingle,4.82,Old,53,No
ship,4.87,Old,26,Yes
shipman,3.92,Old,27,Yes
shipmate,4.52,Old,31,No
shirt,4.94,Old,32,No
shirtsleeve,4.64,Old,28,Yes
shirttail,4.78,Old,32,No
shoe,4.97,Old,28,Yes
shoehorn,4.57,Old,27,Yes
shoelace,5,Old,34,No
shoestring,4.87,Old,31,No
shopkeeper,4.43,Old,25,Yes
shopper,4.44,Old,28,Yes
shore,4.79,Old,37,No
shortbread,4.56,Old,36,No
shortcake,4.41,Old,37,No
shorts,4.82,Old,33,No
shot,4.44,Old,33,No
shotgun,4.96,Old,26,Yes
shoulder,4.93,Old,27,Yes
shovel,4.97,Old,31,No
shower,4.89,Old,37,No
showerhead,4.93,Old,35,No
shrimp,4.8,Old,26,Yes
shrine,4.47,Old,26,Yes
shrub,4.92,Old,67,No
shuffleboard,4.74,Old,26,Yes
shutter,4.38,Old,26,Yes
shuttle,4.63,Old,34,No
sibling,4.37,Old,27,Yes
sideboard,4.42,Old,27,Yes
sideburns,4.96,Old,26,Yes
sidecar,4.82,Old,27,Yes
sidewalk,4.96,Old,36,No
sifter,4.64,Old,33,No
sign,4.62,Old,35,No
signpost,4.63,Old,37,No
silk,4.7,Old,34,No
silkworm,4.62,Old,28,Yes
silverware,4.66,Old,25,Yes
singer,4.62,Old,36,No
sink,4.74,Old,39,No
sirloin,4.66,Old,29,Yes
sister,4,Old,29,Yes
skate,4.56,Old,32,No
skateboard,4.86,Old,28,Yes
skateboarder,4.82,Old,35,No
skeleton,4.97,Old,28,Yes
sketch,4.56,Old,27,Yes
sketchbook,4.79,Old,61,No
skewer,4.46,Old,27,Yes
ski,4.63,Old,30,No
skillet,4.73,Old,34,No
skin,4.79,Old,37,No
skirt,4.82,Old,26,Yes
skittles,4.93,Old,57,No
skullcap,4.54,Old,27,Yes
slacks,4.57,Old,32,No
slaw,4.64,Old,27,Yes
sled,5,Old,39,No
sledge,4.11,Old,28,Yes
sledgehammer,4.89,Old,30,No
sleeve,4.84,Old,28,Yes
sleigh,4.71,Old,28,Yes
slide,4.48,Old,32,No
slime,4.48,Old,31,No
sling,4.52,Old,39,No
slingshot,4.87,Old,26,Yes
slipcover,4.69,Old,30,No
slipknot,4.68,Old,26,Yes
slipper,4.86,Old,25,Yes
slug,4.64,Old,31,No
slush,4.04,Old,29,Yes
slut,3.19,Old,28,Yes
smock,4.78,Old,31,No
smooch,4.21,Old,27,Yes
smoothie,4.62,Old,27,Yes
smuggler,4.31,Old,30,No
snack,4.36,Old,25,Yes
snail,4.93,Old,37,No
sneaker,4.69,Old,35,No
snorkel,4.56,Old,24,Yes
snot,4.48,Old,32,No
snow,4.85,Old,27,Yes
snowball,4.93,Old,32,No
snowdrift,4.78,Old,29,Yes
snowfall,4.66,Old,35,No
snowflake,4.76,Old,30,No
snowman,4.64,Old,26,Yes
snowshoe,4.67,Old,26,Yes
soap,4.93,Old,35,No
soccer,4.76,Old,32,No
sock,4.91,Old,30,No
socket,4.32,Old,25,Yes
soda,4.97,Old,24,Yes
sofa,4.9,Old,32,No
softball,4.89,Old,33,No
soil,4.87,Old,36,No
soldier,4.72,Old,26,Yes
soles,4.17,Old,34,No
sombrero,4.7,Old,30,No
someone,3.71,Old,35,No
son,4.14,Old,27,Yes
songbook,4.63,Old,36,No
souffle,4.57,Old,29,Yes
soup,4.72,Old,25,Yes
sourdough,4.66,Old,34,No
southerner,3.67,Old,31,No
soy,4.7,Old,25,Yes
soybean,4.82,Old,25,Yes
spacesuit,4.96,Old,28,Yes
spade,4.46,Old,29,Yes
spareribs,4.76,Old,30,No
spatula,4.96,Old,36,No
speakers,4.93,Old,25,Yes
spear,5,Old,39,No
spectacles,4.56,Old,25,Yes
spectroscope,4,Old,25,Yes
speedboat,4.87,Old,31,No
spices,4.66,Old,54,No
spider,4.97,Old,25,Yes
spike,4.52,Old,29,Yes
spinach,4.77,Old,29,Yes
spine,4.88,Old,28,Yes
spit,4.71,Old,33,No
splint,4.69,Old,26,Yes
splinter,4.41,Old,27,Yes
spokesman,4.11,Old,27,Yes
sponge,5,Old,24,Yes
spool,4.62,Old,29,Yes
spoon,4.96,Old,34,No
sportswoman,4.32,Old,27,Yes
sportswriter,3.93,Old,33,No
spout,4.67,Old,26,Yes
sprayer,4.62,Old,27,Yes
spreader,3.72,Old,29,Yes
sprinkler,4.89,Old,31,No
sprinter,4.13,Old,36,No
spyglass,4.79,Old,29,Yes
squash,4.7,Old,27,Yes
squeegee,4.75,Old,25,Yes
squirrel,4.89,Old,31,No
stableman,4.73,Old,28,Yes
staff,4.36,Old,31,No
stage,4.64,Old,27,Yes
stagecoach,4.93,Old,29,Yes
staircase,4.66,Old,31,No
stairs,5,Old,52,No
stairwell,4.85,Old,37,No
stake,4.21,Old,34,No
stall,4.37,Old,33,No
stallion,4.72,Old,37,No
stamp,4.7,Old,34,No
staple,4.34,Old,31,No
stapler,4.62,Old,32,No
starch,4.29,Old,28,Yes
stationary,3.95,Old,45,No
statue,4.93,Old,33,No
statuette,4.54,Old,25,Yes
steak,4.96,Old,29,Yes
steamboat,4.9,Old,32,No
steel,4.87,Old,25,Yes
steelworker,4.44,Old,33,No
stem,4.63,Old,28,Yes
stencil,4.83,Old,25,Yes
step,4.54,Old,31,No
stepbrother,4.67,Old,28,Yes
stepchild,4.33,Old,33,No
stepdaughter,4.07,Old,35,No
stepfather,4,Old,29,Yes
stepladder,4.67,Old,33,No
stepson,3.68,Old,28,Yes
stereo,4.63,Old,40,No
steroids,4.52,Old,28,Yes
stethoscope,4.86,Old,35,No
stewardess,4.31,Old,27,Yes
stick,4.59,Old,33,No
stilt,4.5,Old,27,Yes
stirrer,3.83,Old,31,No
stirrup,4.9,Old,31,No
stitching,4.48,Old,26,Yes
stockbroker,4.32,Old,31,No
stocking,4.86,Old,28,Yes
stockings,4.62,Old,35,No
stomach,4.89,Old,27,Yes
stomp,4.41,Old,28,Yes
stone,4.72,Old,36,No
stoneware,4.66,Old,25,Yes
stool,4.9,Old,26,Yes
stoop,4.63,Old,29,Yes
stopwatch,4.92,Old,38,No
store,4.5,Old,33,No
storehouse,4.62,Old,26,Yes
storekeeper,4.69,Old,28,Yes
storeroom,4.5,Old,33,No
storybook,4.92,Old,29,Yes
stove,4.96,Old,33,No
straightedge,4.07,Old,31,No
strainer,4.46,Old,32,No
straitjacket,4.73,Old,37,No
strap,4.79,Old,25,Yes
straw,4.77,Old,32,No
strawberry,5,Old,28,Yes
stream,4.5,Old,36,No
street,4.75,Old,26,Yes
streetcar,4.89,Old,33,No
streets,4.77,Old,30,No
streetwalker,4.33,Old,30,No
stretcher,4.56,Old,36,No
string,4.76,Old,63,No
stroller,4.96,Old,27,Yes
strongbox,4.79,Old,27,Yes
strudel,4.12,Old,27,Yes
student,4.92,Old,25,Yes
stuff,3.13,Old,33,No
submarine,4.8,Old,25,Yes
substance,3.44,Old,26,Yes
subway,4.86,Old,36,No
suds,4.59,Old,28,Yes
suede,4.24,Old,27,Yes
sugar,4.87,Old,29,Yes
sugarcane,4.89,Old,27,Yes
suit,4.97,Old,28,Yes
suitcase,4.97,Old,38,No
summerhouse,4.54,Old,35,No
sundae,4.59,Old,28,Yes
sundeck,4.61,Old,28,Yes
sunflower,4.8,Old,28,Yes
sunglasses,4.83,Old,25,Yes
sunroof,4.68,Old,25,Yes
supermarket,4.57,Old,28,Yes
supervisor,4.26,Old,29,Yes
supper,4.63,Old,29,Yes
surfboard,4.57,Old,30,No
surgeon,4.54,Old,31,No
surveyor,3.85,Old,30,No
sushi,4.96,Old,39,No
suspenders,4.68,Old,72,No
suture,4.15,Old,30,No
swab,4.34,Old,28,Yes
swamp,4.96,Old,34,No
swan,4.96,Old,27,Yes
sweatband,4.37,Old,28,Yes
sweater,4.78,Old,29,Yes
sweatshirt,4.93,Old,27,Yes
sweetener,4.48,Old,33,No
swimsuit,4.78,Old,28,Yes
swing,4.54,Old,31,No
switchblade,5,Old,29,Yes
switchboard,4.61,Old,27,Yes
sword,4.93,Old,35,No
syringe,4.81,Old,51,No
syrup,4.76,Old,36,No
tabasco,4.59,Old,32,No
table,4.9,Old,26,Yes
tablecloth,4.85,Old,27,Yes
tablespoon,5,Old,28,Yes
tablet,4.82,Old,26,Yes
tableware,4.65,Old,27,Yes
tabloid,4.07,Old,28,Yes
taco,4.93,Old,26,Yes
taffy,4.79,Old,36,No
tag,4.25,Old,27,Yes
tailcoat,4.67,Old,27,Yes
taillight,4.86,Old,28,Yes
tailor,4.67,Old,31,No
talisman,4.15,Old,31,No
tambourine,4.86,Old,33,No
tampon,4.86,Old,36,No
tangerine,4.81,Old,28,Yes
tank,4.8,Old,36,No
tape,4.9,Old,34,No
tapestry,4.52,Old,27,Yes
tapioca,4.64,Old,31,No
tar,4.78,Old,33,No
tartar,4.4,Old,29,Yes
tattoo,4.71,Old,35,No
tavern,4.78,Old,27,Yes
taxi,4.93,Old,36,No
taxpayer,4.14,Old,31,No
tea,4.69,Old,27,Yes
teabag,4.82,Old,30,No
teacher,4.52,Old,28,Yes
teacup,4.92,Old,27,Yes
teahouse,4.57,Old,26,Yes
teakettle,4.97,Old,27,Yes
teakwood,4.62,Old,27,Yes
teammate,4.15,Old,24,Yes
teapot,4.96,Old,29,Yes
tear,4.56,Old,29,Yes
teardrop,4.56,Old,32,No
tearoom,4.58,Old,27,Yes
teaspoon,4.76,Old,29,Yes
teaspoonful,4.27,Old,37,No
technician,4.1,Old,27,Yes
teenager,4.34,Old,32,No
teeth,4.96,Old,33,No
telescope,5,Old,32,No
television,4.83,Old,26,Yes
temple,4.53,Old,26,Yes
tenant,4.55,Old,30,No
tenderloin,4.39,Old,29,Yes
tent,4.96,Old,33,No
tepee,4.85,Old,36,No
termite,4.7,Old,36,No
terrace,4.67,Old,26,Yes
terrier,4.62,Old,34,No
terrycloth,4.55,Old,32,No
testes,4.54,Old,28,Yes
testicle,4.59,Old,25,Yes
textile,4.23,Old,26,Yes
theatergoer,3.92,Old,31,No
theologian,3.76,Old,31,No
therapist,4.52,Old,27,Yes
thermometer,4.96,Old,27,Yes
thermos,4.67,Old,25,Yes
thermostat,4.87,Old,24,Yes
thesaurus,4.79,Old,26,Yes
thigh,4.9,Old,31,No
thimble,5,Old,28,Yes
thong,4.93,Old,33,No
thorn,5,Old,28,Yes
thread,4.83,Old,30,No
throat,4.97,Old,37,No
throne,4.64,Old,28,Yes
thumb,4.96,Old,32,No
thumbnail,4.5,Old,27,Yes
thumbscrew,4.32,Old,28,Yes
thumbtack,4.96,Old,26,Yes
thyme,4.96,Old,28,Yes
ticket,4.7,Old,33,No
tickler,3.76,Old,25,Yes
tie,4.81,Old,34,No
tightrope,4.78,Old,36,No
tights,4.62,Old,34,No
tile,4.68,Old,30,No
tiller,4.26,Old,37,No
timber,4.9,Old,30,No
timepiece,4.36,Old,25,Yes
tin,4.87,Old,34,No
tinderbox,4.79,Old,24,Yes
tinfoil,4.96,Old,36,No
tinplate,4,Old,34,No
tinsel,4.82,Old,27,Yes
tire,5,Old,24,Yes
tissue,4.93,Old,26,Yes
toast,4.93,Old,29,Yes
toaster,4.9,Old,25,Yes
toastmaster,3.88,Old,28,Yes
tobacco,4.88,Old,38,No
toboggan,4.76,Old,33,No
toddler,4.29,Old,35,No
toe,4.93,Old,28,Yes
toffee,4.89,Old,40,No
tofu,4.86,Old,33,No
toga,4.73,Old,27,Yes
toilet,4.97,Old,35,No
toiletry,4.52,Old,29,Yes
token,4.3,Old,29,Yes
tomahawk,4.83,Old,28,Yes
tomato,5,Old,26,Yes
tomb,4.73,Old,39,No
tombstone,4.71,Old,33,No
tongs,5,Old,55,No
tongue,4.93,Old,38,No
tonic,4.1,Old,37,No
tool,4.6,Old,25,Yes
tooth,4.89,Old,37,No
toothbrush,5,Old,28,Yes
toothpaste,4.97,Old,27,Yes
toothpick,4.93,Old,25,Yes
topsoil,4.85,Old,29,Yes
torch,4.76,Old,27,Yes
torchlight,4.28,Old,31,No
torso,4.83,Old,27,Yes
tortilla,4.89,Old,36,No
tortoise,4.87,Old,36,No
tote,4.38,Old,38,No
toupee,4.65,Old,27,Yes
tourist,4.59,Old,26,Yes
tourniquet,4.5,Old,27,Yes
towel,4.86,Old,24,Yes
tower,4.76,Old,36,No
townsfolk,3.82,Old,59,No
toy,4.93,Old,29,Yes
track,4.31,Old,27,Yes
tracksuit,4.73,Old,33,No
