cues,AFSS,BOI,Concrete,n_previous,needs_norming
clove,29,5.086956522,4.42,28,Yes
clover,49,4.695652174,4.69,39,No
cloverleaf,34,4.565217391,4.86,35,No
club,46,5.458333333,3.78,36,No
clubhouse,44,4.28,4.61,34,No
coachman,42,4.739130435,4.12,28,Yes
coal,33,4.875,4.66,33,No
coaster,28,5.333333333,4.68,29,Yes
coat,24,6.565217391,4.97,27,Yes
cobblestone,25,5.086956522,4.79,26,Yes
cobweb,36,4.916666667,4.92,35,No
cocaine,32,5.913043478,4.52,32,No
cock,40,5.04,4.79,30,No
cockatoo,33,4.666666667,4.73,36,No
cocktail,44,5.481481481,4.4,30,No
cocoa,32,5.625,4.89,33,No
coconut,45,5.64,4.79,28,Yes
cod,22,4.458333333,4.61,26,Yes
coffee,40,5.538461538,4.81,28,Yes
coffeepot,24,6.037037037,4.64,28,Yes
coffin,26,5.52,4.86,28,Yes
coin,44,6.4,4.89,32,No
coke,34,6.2,4.83,36,No
cola,22,5.565217391,4.79,24,Yes
colander,20,6,4.21,25,Yes
coleslaw,29,4.72,4.67,30,No
collar,27,5.12,4.64,34,No
collarbone,18,5.48,4.85,29,Yes
colleague,30,5.724137931,3.79,27,Yes
collie,34,5.730769231,4.77,31,No
cologne,42,5.541666667,4.76,37,No
colt,45,4.916666667,4.96,27,Yes
comb,27,5.923076923,5,36,No
comforter,39,6.16,4.7,38,No
comic,42,4.88,4,35,No
committeewoman,47,4.857142857,4.33,26,Yes
commode,36,5.481481481,4.54,31,No
companion,50,5.739130435,3.75,27,Yes
compass,35,5.538461538,4.66,64,No
compost,27,5.041666667,4.46,34,No
compressor,45,4.5,4.39,34,No
computer,47,6.714285714,4.93,27,Yes
concert,36,4.714285714,4.35,28,Yes
conch,27,4.285714286,4.52,27,Yes
concrete,46,5.166666667,4.59,28,Yes
condiment,46,5.76,4.72,38,No
conditioner,26,5.130434783,4.21,31,No
condom,35,6.346153846,4.87,36,No
condominium,40,4.678571429,4.35,29,Yes
conductor,32,4.75,4.26,32,No
cone,29,4.608695652,4.86,26,Yes
confetti,31,4.76,4.93,36,No
congresswoman,33,4.32,4.48,28,Yes
container,40,5.461538462,4.85,30,No
contraceptive,24,5.391304348,3.89,26,Yes
controller,27,5.458333333,4.33,35,No
cookbook,57,5.68,4.9,30,No
cookhouse,22,4.423076923,4.62,27,Yes
cookie,38,6.5,5,28,Yes
cooler,39,5.625,4.14,29,Yes
cop,47,4.458333333,4.3,28,Yes
copier,21,5.136363636,4.72,33,No
copilot,38,4.791666667,4.59,28,Yes
copper,33,4.833333333,4.52,32,No
copybook,26,5,4.67,32,No
cord,39,6.103448276,4.63,31,No
corduroy,24,5.041666667,4.56,26,Yes
cork,39,5.636363636,4.86,30,No
corkscrew,30,6.04,4.85,26,Yes
corn,41,6,4.96,36,No
cornbread,35,5.16,4.79,35,No
cornfield,41,4.739130435,4.96,42,No
cornflakes,34,5.6,4.82,29,Yes
cornflower,22,4.739130435,4.71,27,Yes
cornmeal,21,5.913043478,4.83,25,Yes
cornstarch,27,5.043478261,4.56,30,No
corridor,41,4.5,4.72,28,Yes
corsage,17,5.782608696,4.38,26,Yes
