"cue","n_previous"
"icepick",27
"icing",33
"igloo",25
"iguana",28
"illustrator",31
"incubator",36
"infant",28
"ingredients",48
"ink",37
"insect",34
"insole",31
"inspector",33
"instructor",32
"instrument",26
"insulin",26
"intercom",35
"intern",31
"interviewer",33
"inventor",30
"investigator",30
"iron",27
"item",25
"jacket",27
"jaguar",32
"jam",29
"jar",28
"jasmine",27
"javelin",26
"jaw",38
"jawbreaker",28
"jeans",58
"jeep",26
"jelly",26
"jersey",29
"jet",40
"jewel",29
"jeweler",40
"jewelry",27
"jockstrap",27
"jogger",32
"joint",30
"journal",33
"journalist",27
"joystick",33
"juice",33
"jukebox",26
"jumper",27
"junk",26
"jurist",31
"juror",31
"kale",26
"kaleidoscope",35
"kazoo",32
"kebab",27
"keepsake",34
"keg",25
"kelp",28
"kerchief",25
"kernel",27
"ketchup",39
"kettle",28
"kettledrum",31
"key",29
"keyboard",29
"keyhole",31
"kid",53
"kidney",25
"kiln",29
"kilt",29
"kindle",25
"kindling",30
"kiss",54
"kit",37
"kitchen",30
"kitchenette",26
"kite",25
"kitten",26
"kitty",35
"kiwi",33
"kleenex",28
"knapsack",26
"knee",28
"kneecap",36
"knickers",32
"knitting",29
"knob",27
"knot",29
"knuckle",53
"kumquat",25
"label",37
"laboratory",28
"labrador",37
"lace",28
"lad",27
"ladder",33
"ladle",28
"lady",28
"ladybug",26
"lager",26
"lake",35
"lamb",34
"lambskin",32
"lamp",26
"lamplight",38
"lamplighter",25
"lampshade",31
"lance",29
"land",35
"landlady",26
"landscape",30
"lantern",30
"lanyard",30
"lapdog",32
"larvae",30
"laryngoscope",26
"lasso",32
"latch",35
"latex",36
"latrine",25
"laundry",25
"lavatory",26
"lawn",27
"lawyer",33
"laxative",33
"leaf",61
"leaflet",29
"leash",26
"leather",31
"ledge",35
"ledger",28
"leech",27
"leftovers",33
"leg",28
"leggings",26
"lei",32
"lemon",28
"lemonade",28
"lens",30
"leopard",30
"leotard",29
"letter",34
"letterbox",26
"lettuce",29
"lever",25
"library",26
"lice",26
"licence",29
"lid",40
"lifeboat",29
"lifebuoy",26
"lifeguard",26
"lighthouse",26
"lilac",34
"lily",53
"limb",30
"lime",55
"limeade",25
"limestone",33
"limousine",27
"linen",33
"lingerie",37
"linoleum",27
"lint",37
"lip",33
"lipstick",35
"liqueur",34
"liquid",32
"liquor",27
"litter",34
"livestock",27
"lizard",30
"llama",35
"loaf",33
"lobbyist",34
"lobe",29
"lobster",28
"lock",27
"locker",32
"locket",39
"locksmith",35
"lodge",33
"lodging",33
"log",28
"logbook",38
"loin",31
"loincloth",31
"lollipop",25
"longbow",33
"loo",27
"lotion",38
"loudspeaker",26
"lounge",30
"lounger",29
"lovebird",27
"lozenge",26
"lubricant",28
"lubrication",28
"luggage",33
"lumber",35
"lump",28
"lunch",27
"lunchroom",27
"lyre",29
"macaroni",28
"macaroon",37
"mace",26
"machete",60
"machine",28
"machinery",35
"magazine",35
"maggot",26
"magician",34
"magnet",28
"magnolia",27
"maid",37
"maiden",26
"maidservant",30
"mail",33
"mailbag",37
"maize",33
"makeup",37
"male",32
"mall",37
"mallard",24
"mallet",28
"mammal",33
"man",34
"mandolin",29
"mango",33
"manhole",33
"manicure",35
"manicurist",27
"mannequin",35
"mansion",59
"mantel",26
"mantelpiece",28
"mantle",30
"manure",26
"manuscript",26
"map",28
"maple",34
"marble",34
"marbles",27
"margarine",26
"marigold",28
"marijuana",38
"marionette",27
"marketeer",30
"marksman",28
"marmalade",35
"marshmallow",38
"mascara",26
"mascot",28
"mask",25
"masseuse",56
"mat",33
"match",26
"matchbox",29
"matchstick",35
"mathematician",28
"mattress",27
"mayonnaise",68
"mayor",31
"me",29
"meadow",30
"meal",27
"meat",25
"medal",32
"medallion",26
"medic",60
"medicine",60
"megaphone",27
"melon",32
"memo",37
"memorabilia",28
"men",26
"mentor",34
"menu",35
"merchandise",27
"merchant",31
"merchantman",32
"metal",30
"metalworker",25
"meteorologist",27
"mice",28
"microphone",28
"microscope",28
"microwave",27
"midget",26
"midwife",32
"milk",27
"milkshake",30
"mincemeat",28
"minister",37
"mink",33
"minnow",26
"mint",33
"mirror",26
"mistletoe",34
"mistress",33
"mitt",36
"mitten",27
"mixer",37
"moccasin",26
"model",27
"molasses",35
"mommy",26
"money",29
"moneybags",39
"mongoose",32
"monk",39
"monument",28
"moonshine",28
"mop",26
"morsel",33
"mortician",30
"mosquito",31
"moss",25
"motel",31
"moth",25
"mothball",30
"mother",24
"motor",30
"motorbike",26
"motorboat",34
"motorcycle",32
"motorcyclist",25
"motorist",36
"mountain",26
"mountainside",26
"mouse",27
"mousetrap",25
"mousse",28
"moustache",28
"mouth",26
"mouthpiece",28
"mouthwash",27
"mucus",57
"mud",25
"muffin",30
"muffler",30
"mug",27
"mulberry",29
"mulch",30
"mule",26
"mullet",60
"mum",29
"munitions",30
"muscle",39
"museum",28
"mushroom",26
"musician",31
"musket",30
"mustache",26
"mustard",38
"mutt",34
"mutton",27
"muzzle",33
"myself",29
"nail",25
"nameplate",26
"nanny",31
"napkin",27
"narcotics",37
"neck",36
"neckband",31
"neckerchief",28
"necklace",37
"necktie",33
"neckwear",34
"nectar",36
"needle",60
"needlepoint",24
"needlework",26
"negligee",26
"nephew",29
"net",25
"nettle",25
"neurologist",34
"newlyweds",32
"newsagent",27
"newsboy",25
"newscaster",29
"newsletter",36
"newsman",35
"newspaper",39
"newspaperman",36
"newsprint",27
"newsstand",29
"newt",32
"nickel",35
"nightcaps",33
"nightclub",28
"nightdress",26
"nightgown",25
"nightie",25
"nightlight",29
"nightshirt",27
"nipple",26
"noodle",55
"noose",26
"nose",26
"nostril",35
"note",34
"notepaper",26
"novel",28
"nugget",27
"nun",27
"nurse",37
"nursemaid",27
"nursery",27
"nut",36
"nutcracker",59
"nutmeg",28
"nutshell",28
"nylon",38
"oar",26
"oat",37
"object",28
"obstetrician",29
"ocean",27
"oceanographer",27
"offspring",35
"oilcan",34
"oilcloth",28
"ointment",30
"okra",26
"olive",29
"omelet",57
"onion",32
"opal",29
"ophthalmologist",26
"opium",31
"optician",27
"orange",34
"orchard",30
"orchid",28
"ore",26
"oregano",35
"organ",28
"organism",26
"orgy",26
"ornament",34
"orphan",34
"orthodontist",25
"ottoman",27
"outfielder",26
"outfit",34
"outhouse",31
"outlet",32
"oven",24
"overcoat",37
"oxtail",30
"oyster",25
"pacemaker",32
"pacifier",32
"package",28
"packaging",29
"packet",32
"pad",33
"padding",28
"paddle",27
"padlock",26
"page",31
"pail",28
"painkiller",29
"paint",26
"paintbox",28
"paintbrush",27
"pajamas",61
"pal",34
"pallet",26
"palm",29
"pamphlet",28
"pan",37
"panhandler",37
"pantaloons",28
"panties",29
"pantry",32
"pants",27
"paper",36
"paperback",34
"paperhanger",29
"paperweight",27
"paprika",31
"parachute",26
"parachutist",27
"parakeet",31
"paraphernalia",28
"paratrooper",27
"parcel",27
"parchment",27
"parent",27
"parka",31
"parsley",28
"parsnip",26
"partner",38
"passenger",30
"passionflower",27
"passport",27
"pasta",29
"pastrami",26
"pastry",30
"path",34
"patrolman",35
"paw",27
"pea",33
"peach",27
"peacock",32
"peanut",34
"peanuts",31
"pear",26
"pearl",25
"peashooter",28
"pebble",29
"pecan",27
"pedal",31
"pedestal",31
"pedestrian",26
"pedicurist",32
"pedometer",25
"peel",25
"peelings",34
"peephole",24
"peg",25
"pegboard",30
"pellet",28
"pelvis",28
"pen",27
"pencil",37
"pendant",32
"penknife",30
"pennant",26
"penny",37
"penthouse",28
"peony",27
"people",33
"pepper",36
"peppercorn",34
"peppermint",26
"pepperoni",29
"perfume",36
"periscope",27
"peroxide",27
"person",34
"perspiration",28
"pet",39
"petal",26
"phalanges",27
"pharmacist",37
"pharmacy",30
"phone",26
"phonograph",30
"photocopier",27
"photocopy",28
"photograph",26
"physician",33
"physiologist",27
"piano",27
"piccolo",34
"pickaxe",26
"pickle",33
"picnicker",26
"picture",26
"picture frame",30
"pie",39
"piercing",36
"pig",29
"piglet",26
"pigtail",35
"pike",27
"pilaf",26
"pill",32
"pillar",36
"pillow",28
"pillowcase",33
"pilot",28
"pimento",26
"pimple",34
"pin",25
"pinball",28
"pincushion",32
"pine",34
"pineapple",32
"pinecone",37
"pinewood",27
"pinkie",34
"pinwheel",35
"pipe",26
"pistachio",39
"pistol",27
"pitcher",28
"pitchfork",26
"pizza",28
"placard",28
"placenta",29
"plaintiff",37
"plane",37
"plank",27
"planner",27
"plant",28
"plantain",27
"planter",26
"plaque",29
"plaster",28
"plastic",57
"plate",31
"platform",30
"platter",29
"player",35
"playground",34
"playhouse",28
"playroom",34
"playsuit",29
"plaything",27
"playwright",26
"plexiglas",27
"pliers",36
"plow",34
"plug",29
"plum",28
"plumber",30
"plywood",32
"pocket",24
"pocketbook",30
"pocketknife",36
"podiatrist",30
"poet",29
"poinsettia",31
"poker",31
"pole",31
"police",35
"policeman",30
"policewoman",34
"politician",28
"polyester",35
"pomegranate",34
"pompom",34
"poncho",39
"pond",26
"pony",28
"pooch",27
"poodle",27
"pool",34
"poop",26
"popcorn",38
"porch",36
"pork",26
"porridge",37
"portfolio",38
"portrait",28
"postage",34
"postcard",28
"poster",32
"postman",34
"postmaster",29
"pot",38
"potato",32
