"cue","n_total","needs_norming"
"paperwork",0,"Yes"
"pod",0,"Yes"
"sandstorm",0,"Yes"
"seal",0,"Yes"
"shaving",0,"Yes"
"shipbuilding",0,"Yes"
"spotlight",0,"Yes"
"steamship",0,"Yes"
"stonecutter",0,"Yes"
"telegram",0,"Yes"
"aqueduct",0,"Yes"
"cargo",0,"Yes"
"cervix",0,"Yes"
"college",0,"Yes"
"firework",0,"Yes"
"fizz",0,"Yes"
"flintstone",0,"Yes"
"flood",0,"Yes"
"gaslight",0,"Yes"
"hum",0,"Yes"
"morgue",0,"Yes"
"nod",0,"Yes"
"paleontologist",0,"Yes"
"pier",0,"Yes"
"pleat",0,"Yes"
"prawn",0,"Yes"
"rash",0,"Yes"
"rickshaw",0,"Yes"
"rim",0,"Yes"
"semicolon",0,"Yes"
"shipbuilder",0,"Yes"
"signboard",0,"Yes"
"sod",0,"Yes"
"tyrannosaurus",0,"Yes"
"vault",0,"Yes"
"venom",0,"Yes"
"waterhole",0,"Yes"
"chute",0,"Yes"
"crater",0,"Yes"
"dashboard",0,"Yes"
"formaldehyde",0,"Yes"
"kids",0,"Yes"
"liverwurst",0,"Yes"
"mainsail",0,"Yes"
"pound",0,"Yes"
"ravine",0,"Yes"
"robin",0,"Yes"
"sandpiper",0,"Yes"
"stockroom",0,"Yes"
"sunspot",0,"Yes"
"thyroid",0,"Yes"
"tribesman",0,"Yes"
"turtledove",0,"Yes"
"wooden",0,"Yes"
"butternut",0,"Yes"
"collage",0,"Yes"
"grassland",0,"Yes"
"meteorite",0,"Yes"
"sandbar",0,"Yes"
"sheik",0,"Yes"
"sleeveless",0,"Yes"
"wharf",0,"Yes"
"whorehouse",0,"Yes"
"arch",0,"Yes"
"aspen",0,"Yes"
"bobtail",0,"Yes"
"chamber",0,"Yes"
"domino",0,"Yes"
"filter",0,"Yes"
"gnome",0,"Yes"
"graphics",0,"Yes"
"handwriting",0,"Yes"
"hurricane",0,"Yes"
"jockey",0,"Yes"
"lightning",0,"Yes"
"movie",0,"Yes"
"pavilion",0,"Yes"
"pinstripe",0,"Yes"
"pregnant",0,"Yes"
"propane",0,"Yes"
"refinery",0,"Yes"
"sail",0,"Yes"
"senator",0,"Yes"
"sharpshooter",0,"Yes"
"sieve",0,"Yes"
"sill",0,"Yes"
"songbird",0,"Yes"
"stain",0,"Yes"
"tee",0,"Yes"
"telegraph",0,"Yes"
"turbine",0,"Yes"
"windscreen",0,"Yes"
"congressman",0,"Yes"
"entrails",0,"Yes"
"groin",0,"Yes"
"helmeted",0,"Yes"
"hookworm",0,"Yes"
"hovercraft",0,"Yes"
"hula",0,"Yes"
"longshoreman",0,"Yes"
"lungfish",0,"Yes"
"meetinghouse",0,"Yes"
"planet",0,"Yes"
"plastics",0,"Yes"
"slate",0,"Yes"
"sprocket",0,"Yes"
"stockyard",0,"Yes"
"woodsman",0,"Yes"
"abrasion",0,"Yes"
"afterbirth",0,"Yes"
"aviator",0,"Yes"
"barometer",0,"Yes"
"brunette",0,"Yes"
"cavern",0,"Yes"
"cerebellum",0,"Yes"
"chophouse",0,"Yes"
"cove",0,"Yes"
"firebird",0,"Yes"
"flannels",0,"Yes"
"handstand",0,"Yes"
"harbor",0,"Yes"
"hyena",0,"Yes"
"malt",0,"Yes"
"mildew",0,"Yes"
"monogram",0,"Yes"
"palace",0,"Yes"
"quart",0,"Yes"
"seaport",0,"Yes"
"shrapnel",0,"Yes"
"silhouette",0,"Yes"
"speedway",0,"Yes"
"spur",0,"Yes"
"sunburn",0,"Yes"
"surf",0,"Yes"
"tick",0,"Yes"
"traveller",0,"Yes"
"biophysicist",0,"Yes"
"bolero",0,"Yes"
"canon",0,"Yes"
"chickenpox",0,"Yes"
"choirboy",0,"Yes"
"coil",0,"Yes"
"crematory",0,"Yes"
"freckle",0,"Yes"
"frost",0,"Yes"
"longhorn",0,"Yes"
"lumberyard",0,"Yes"
"manger",0,"Yes"
"mountaintop",0,"Yes"
"oilman",0,"Yes"
"pile",0,"Yes"
"rubble",0,"Yes"
"site",0,"Yes"
"stonemason",0,"Yes"
"thorax",0,"Yes"
"trumpeter",0,"Yes"
"tumor",0,"Yes"
"vent",0,"Yes"
"auctioneer",0,"Yes"
"billiard",0,"Yes"
"blindfolded",0,"Yes"
"boxing",0,"Yes"
"campsite",0,"Yes"
"cut",0,"Yes"
"dockyard",0,"Yes"
"footman",0,"Yes"
"fuse",0,"Yes"
"grid",0,"Yes"
"housetops",0,"Yes"
"infirmary",0,"Yes"
"intestine",0,"Yes"
"marsupial",0,"Yes"
"pigtailed",0,"Yes"
"planetarium",0,"Yes"
"ram",0,"Yes"
"spokeswoman",0,"Yes"
"typhoon",0,"Yes"
"vet",0,"Yes"
"watermark",0,"Yes"
"wave",0,"Yes"
"allspice",0,"Yes"
"antifreeze",0,"Yes"
"battlefield",0,"Yes"
"bayou",0,"Yes"
"cinder",0,"Yes"
"cloud",0,"Yes"
"coastline",0,"Yes"
"constable",0,"Yes"
"corral",0,"Yes"
"dike",0,"Yes"
"fender",0,"Yes"
"hedge",0,"Yes"
"iris",0,"Yes"
"logger",0,"Yes"
"midshipman",0,"Yes"
"mosque",0,"Yes"
"newsroom",0,"Yes"
"parade",0,"Yes"
"pesticide",0,"Yes"
"scorekeeper",0,"Yes"
"seismograph",0,"Yes"
"shadow",0,"Yes"
"shoemaker",0,"Yes"
"showroom",0,"Yes"
"sphincter",0,"Yes"
"spice",0,"Yes"
"sunset",0,"Yes"
"suspender",0,"Yes"
"synagogue",0,"Yes"
"tidewater",0,"Yes"
"undercarriage",0,"Yes"
"venus",0,"Yes"
"veranda",0,"Yes"
"weep",0,"Yes"
"attic",0,"Yes"
"bowel",0,"Yes"
"calfskin",0,"Yes"
"cobbler",0,"Yes"
"crack",0,"Yes"
"medication",0,"Yes"
"spades",0,"Yes"
"tornado",0,"Yes"
"abacus",0,"Yes"
"asbestos",0,"Yes"
"barb",0,"Yes"
"bark",0,"Yes"
"blonde",0,"Yes"
"brontosaurus",0,"Yes"
"bullfight",0,"Yes"
"carpetbag",0,"Yes"
"crest",0,"Yes"
"crowd",0,"Yes"
"diarrhea",0,"Yes"
"digit",0,"Yes"
"dunk",0,"Yes"
"explosion",0,"Yes"
"fat",0,"Yes"
"fishery",0,"Yes"
"foyer",0,"Yes"
"hairless",0,"Yes"
"heart",0,"Yes"
"hexagon",0,"Yes"
"honk",0,"Yes"
"horseshit",0,"Yes"
"inkwell",0,"Yes"
"jump",0,"Yes"
"kissing",0,"Yes"
"knitter",0,"Yes"
"lick",0,"Yes"
"mortuary",0,"Yes"
"night",0,"Yes"
"peddler",0,"Yes"
"permafrost",0,"Yes"
"pus",0,"Yes"
"quilting",0,"Yes"
"receipts",0,"Yes"
"rust",0,"Yes"
"saxophonist",0,"Yes"
"sewage",0,"Yes"
"sextuplet",0,"Yes"
"silver",0,"Yes"
"skylark",0,"Yes"
"snapper",0,"Yes"
"sturgeon",0,"Yes"
"thundercloud",0,"Yes"
"towline",0,"Yes"
"triangle",0,"Yes"
"waltz",0,"Yes"
"whitehead",0,"Yes"
"mist",0,"Yes"
"backroom",0,"Yes"
"bailiff",0,"Yes"
"batman",0,"Yes"
"cacti",0,"Yes"
"chlorine",0,"Yes"
"chrome",0,"Yes"
"ditch",0,"Yes"
"drape",0,"Yes"
"fiber",0,"Yes"
"flare",0,"Yes"
"flares",0,"Yes"
"hangar",0,"Yes"
"hosiery",0,"Yes"
"icehouse",0,"Yes"
"infielder",0,"Yes"
"lagoon",0,"Yes"
"larynx",0,"Yes"
"laser",0,"Yes"
"line",0,"Yes"
"loom",0,"Yes"
"loot",0,"Yes"
"lynx",0,"Yes"
"mime",0,"Yes"
"morphine",0,"Yes"
"muscleman",0,"Yes"
"naked",0,"Yes"
"painted",0,"Yes"
"plantation",0,"Yes"
"primates",0,"Yes"
"rattler",0,"Yes"
"ringworm",0,"Yes"
"sheriff",0,"Yes"
"smile",0,"Yes"
"smudge",0,"Yes"
"snowdrop",0,"Yes"
"spray",0,"Yes"
"stateroom",0,"Yes"
"steam",0,"Yes"
"swine",0,"Yes"
"tack",0,"Yes"
"tip",0,"Yes"
"topsail",0,"Yes"
"trident",0,"Yes"
"whitetail",0,"Yes"
"woofer",0,"Yes"
"abscess",0,"Yes"
"artery",0,"Yes"
"backdrop",0,"Yes"
"bladder",0,"Yes"
"bran",0,"Yes"
"brig",0,"Yes"
"brown",0,"Yes"
"brushfire",0,"Yes"
"bud",0,"Yes"
"butterfat",0,"Yes"
"cadaver",0,"Yes"
"candlelight",0,"Yes"
"casebook",0,"Yes"
"chop",0,"Yes"
"cloakroom",0,"Yes"
"column",0,"Yes"
"countryside",0,"Yes"
"crying",0,"Yes"
"cyclone",0,"Yes"
"droppings",0,"Yes"
"exam",0,"Yes"
"goalie",0,"Yes"
"grindstone",0,"Yes"
"hairy",0,"Yes"
"hopscotch",0,"Yes"
"marrow",0,"Yes"
"monsoon",0,"Yes"
"mortar",0,"Yes"
"newsreel",0,"Yes"
"observatory",0,"Yes"
"planking",0,"Yes"
"plastering",0,"Yes"
"platoon",0,"Yes"
"potbelly",0,"Yes"
"ridge",0,"Yes"
"saline",0,"Yes"
"salute",0,"Yes"
"sarcophagus",0,"Yes"
"satinwood",0,"Yes"
"schnapps",0,"Yes"
"sheath",0,"Yes"
"shipment",0,"Yes"
"sinkhole",0,"Yes"
"sonogram",0,"Yes"
"spaceship",0,"Yes"
"spectrometer",0,"Yes"
"sycamore",0,"Yes"
"undergarment",0,"Yes"
"vermin",0,"Yes"
"vitamin",0,"Yes"
"wigwam",0,"Yes"
"alarm",0,"Yes"
"bronze",0,"Yes"
"crawling",0,"Yes"
"farmyard",0,"Yes"
"filmstrip",0,"Yes"
"medics",0,"Yes"
"nudge",0,"Yes"
"prism",0,"Yes"
"shingles",0,"Yes"
"sorcerer",0,"Yes"
"tendon",0,"Yes"
"ad",0,"Yes"
"backstroke",0,"Yes"
"bedrock",0,"Yes"
"bile",0,"Yes"
"birth",0,"Yes"
"carcass",0,"Yes"
"cavalryman",0,"Yes"
"clubfoot",0,"Yes"
"cobalt",0,"Yes"
"condor",0,"Yes"
"coop",0,"Yes"
"cosmonaut",0,"Yes"
"dawn",0,"Yes"
"dune",0,"Yes"
"firebox",0,"Yes"
"hatch",0,"Yes"
"lectern",0,"Yes"
"mansions",0,"Yes"
"metalwork",0,"Yes"
"nightingale",0,"Yes"
"retina",0,"Yes"
"sewer",0,"Yes"
"shilling",0,"Yes"
"song",0,"Yes"
"starlet",0,"Yes"
"stockade",0,"Yes"
"tentacle",0,"Yes"
"trail",0,"Yes"
"turbojet",0,"Yes"
"urinate",0,"Yes"
"vasectomy",0,"Yes"
"wet",0,"Yes"
"whalebone",0,"Yes"
"wreckage",0,"Yes"
"yawn",0,"Yes"
"airliner",0,"Yes"
"archaeologist",0,"Yes"
"bomber",0,"Yes"
"bucketful",0,"Yes"
"chiffon",0,"Yes"
"coastguard",0,"Yes"
"cottontail",0,"Yes"
"crease",0,"Yes"
"dean",0,"Yes"
"droplet",0,"Yes"
"gizzard",0,"Yes"
"gypsy",0,"Yes"
"ironwork",0,"Yes"
"jowl",0,"Yes"
"maze",0,"Yes"
"paste",0,"Yes"
"pentagon",0,"Yes"
"queen",0,"Yes"
"riot",0,"Yes"
"seafront",0,"Yes"
"siren",0,"Yes"
"sixpence",0,"Yes"
"sky",0,"Yes"
"sunlight",0,"Yes"
"vertebra",0,"Yes"
"almanac",0,"Yes"
"ammonia",0,"Yes"
"anthrax",0,"Yes"
"bite",0,"Yes"
"bluebook",0,"Yes"
"cell",0,"Yes"
"circle",0,"Yes"
"eat",0,"Yes"
"fencer",0,"Yes"
"flattop",0,"Yes"
"follicle",0,"Yes"
"gallery",0,"Yes"
"insecticide",0,"Yes"
"nape",0,"Yes"
"obsidian",0,"Yes"
"plaza",0,"Yes"
"prince",0,"Yes"
"punching",0,"Yes"
"showgirl",0,"Yes"
"sleep",0,"Yes"
"sphere",0,"Yes"
"sportsman",0,"Yes"
"twister",0,"Yes"
"underbrush",0,"Yes"
"ventriloquist",0,"Yes"
"washing",0,"Yes"
"wormwood",0,"Yes"
"zeppelin",0,"Yes"
"bracket",0,"Yes"
"brook",0,"Yes"
"circus",0,"Yes"
"citizen",0,"Yes"
"clothing",0,"Yes"
"cockfight",0,"Yes"
"crematorium",0,"Yes"
"crevice",0,"Yes"
"engraver",0,"Yes"
"excrement",0,"Yes"
"firelight",0,"Yes"
"floodgate",0,"Yes"
"gang",0,"Yes"
"gauntlet",0,"Yes"
"hem",0,"Yes"
"lioness",0,"Yes"
"list",0,"Yes"
"locked",0,"Yes"
"lumberman",0,"Yes"
"minefield",0,"Yes"
"moneylender",0,"Yes"
"moonlight",0,"Yes"
"nosebleed",0,"Yes"
"ocelot",0,"Yes"
"octagon",0,"Yes"
"oxcart",0,"Yes"
"parkway",0,"Yes"
"penicillin",0,"Yes"
"pharaoh",0,"Yes"
"pilgrim",0,"Yes"
"pint",0,"Yes"
"polo",0,"Yes"
"quiz",0,"Yes"
"signature",0,"Yes"
"spoonful",0,"Yes"
"sulfur",0,"Yes"
"swim",0,"Yes"
"tennis",0,"Yes"
"typewriting",0,"Yes"
"watchtower",0,"Yes"
"waterfowl",0,"Yes"
"waterwheel",0,"Yes"
"welt",0,"Yes"
"wizard",0,"Yes"
"appendectomy",0,"Yes"
"bellhop",0,"Yes"
"blowpipe",0,"Yes"
"cuckoo",0,"Yes"
"freighter",0,"Yes"
"glasshouse",0,"Yes"
"goggle",0,"Yes"
"headless",0,"Yes"
"hermaphrodite",0,"Yes"
"paratroops",0,"Yes"
"seaman",0,"Yes"
"skiing",0,"Yes"
"solid",0,"Yes"
"tang",0,"Yes"
"albino",0,"Yes"
"beaded",0,"Yes"
"biographer",0,"Yes"
"blond",0,"Yes"
"blush",0,"Yes"
"brunch",0,"Yes"
"clasp",0,"Yes"
"crossroad",0,"Yes"
"curly",0,"Yes"
"curve",0,"Yes"
"distillery",0,"Yes"
"dropkick",0,"Yes"
"flagstaff",0,"Yes"
"flutist",0,"Yes"
"geologist",0,"Yes"
"glycerin",0,"Yes"
"gristle",0,"Yes"
"horseback",0,"Yes"
"hunter",0,"Yes"
"kickoff",0,"Yes"
"knit",0,"Yes"
"lettering",0,"Yes"
"lining",0,"Yes"
"mesh",0,"Yes"
"mole",0,"Yes"
"mountaineer",0,"Yes"
"nightcap",0,"Yes"
"nights",0,"Yes"
"paintwork",0,"Yes"
"paneling",0,"Yes"
"port",0,"Yes"
"screenplay",0,"Yes"
"shelve",0,"Yes"
"soapy",0,"Yes"
"splashing",0,"Yes"
"sting",0,"Yes"
"turquoise",0,"Yes"
"typist",0,"Yes"
"windstorm",0,"Yes"
"alehouse",0,"Yes"
"bleed",0,"Yes"
"brownstone",0,"Yes"
"chime",0,"Yes"
"coral",0,"Yes"
"gashes",0,"Yes"
"librarian",0,"Yes"
"magnifier",0,"Yes"
"president",0,"Yes"
"sewing",0,"Yes"
"steed",0,"Yes"
"tapping",0,"Yes"
"tong",0,"Yes"
"warlord",0,"Yes"
"waterline",0,"Yes"
"waterway",0,"Yes"
"zinc",0,"Yes"
"blink",0,"Yes"
"boiling",0,"Yes"
"chateau",0,"Yes"
"cleric",0,"Yes"
"downtown",0,"Yes"
"dragon",0,"Yes"
"earnings",0,"Yes"
"gash",0,"Yes"
"headstone",0,"Yes"
"jackal",0,"Yes"
"lithograph",0,"Yes"
"masseur",0,"Yes"
"molding",0,"Yes"
"nighthawk",0,"Yes"
"percolator",0,"Yes"
"punch",0,"Yes"
"quartet",0,"Yes"
"scriptwriter",0,"Yes"
"skipper",0,"Yes"
"snore",0,"Yes"
"sparks",0,"Yes"
"stag",0,"Yes"
"talker",0,"Yes"
"beacon",0,"Yes"
"blacksmith",0,"Yes"
"cataract",0,"Yes"
"centrifuge",0,"Yes"
"curl",0,"Yes"
"dew",0,"Yes"
"doorkeeper",0,"Yes"
"flooding",0,"Yes"
"foothill",0,"Yes"
"glycerol",0,"Yes"
"goblin",0,"Yes"
"harem",0,"Yes"
"hearth",0,"Yes"
"heron",0,"Yes"
"jade",0,"Yes"
"kneeling",0,"Yes"
"lesion",0,"Yes"
"lighting",0,"Yes"
"looter",0,"Yes"
"mariner",0,"Yes"
"millimeter",0,"Yes"
"oriole",0,"Yes"
"pant",0,"Yes"
"potion",0,"Yes"
